"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.06.2025","44,200","45,800","48,300","43,400","1,60M","-3,49%"
"27.06.2025","45,800","45,000","46,850","44,100","496,34K","0,11%"
"26.06.2025","45,750","45,950","47,000","44,700","933,99K","2,35%"
"25.06.2025","44,700","46,650","46,650","44,100","627,10K","-3,35%"
"24.06.2025","46,250","43,950","46,950","43,950","931,11K","5,23%"
"23.06.2025","43,950","46,200","46,850","42,800","1,84M","-5,59%"
"19.06.2025","46,550","45,850","47,000","45,000","461,56K","1,20%"
"18.06.2025","46,000","47,400","48,500","45,800","1,01M","-3,26%"
"17.06.2025","47,550","48,150","48,600","45,200","1,11M","-1,96%"
"13.06.2025","48,500","50,500","53,500","48,050","3,50M","-3,00%"
"12.06.2025","50,000","46,050","50,800","46,050","2,15M","6,04%"
"11.06.2025","47,150","48,400","49,350","46,600","1,20M","-2,38%"
"10.06.2025","48,300","48,700","48,700","45,500","1,80M","3,21%"
"09.06.2025","46,800","49,200","49,200","46,300","1,93M","-2,90%"
"06.06.2025","48,200","47,500","50,300","46,500","2,32M","0,94%"
"05.06.2025","47,750","49,700","50,600","47,000","1,98M","-2,55%"
"04.06.2025","49,000","52,000","52,400","48,500","1,69M","-5,41%"
"03.06.2025","51,800","48,900","53,000","47,650","2,85M","5,50%"
"02.06.2025","49,100","51,700","51,700","48,850","2,65M","-4,47%"
"30.05.2025","51,400","54,500","54,500","51,000","2,24M","-3,75%"
"29.05.2025","53,400","52,200","53,900","51,900","1,13M","0,00%"
"28.05.2025","53,400","53,000","54,600","51,800","1,77M","-0,19%"
"27.05.2025","53,500","52,200","56,900","51,200","2,71M","3,08%"
"26.05.2025","51,900","52,200","53,900","51,200","1,34M","-0,57%"
"23.05.2025","52,200","52,000","53,400","50,500","1,01M","-1,51%"
"22.05.2025","53,000","52,300","53,800","50,600","1,43M","0,95%"
"21.05.2025","52,500","55,200","56,300","52,300","3,17M","-3,67%"
"20.05.2025","54,500","52,700","54,900","51,400","2,76M","3,42%"
"19.05.2025","52,700","53,000","53,800","50,700","2,38M","1,35%"
"16.05.2025","52,000","53,000","54,400","51,500","2,39M","-1,33%"
"15.05.2025","52,700","53,300","53,900","51,400","3,44M","-0,94%"
"14.05.2025","53,200","52,300","56,900","52,100","7,54M","1,92%"
"13.05.2025","52,200","45,150","53,500","45,000","7,88M","16,52%"
"12.05.2025","44,800","42,700","45,300","42,700","3,39M","5,04%"
"09.05.2025","42,650","42,550","44,100","41,000","2,14M","-0,23%"
"08.05.2025","42,750","43,000","44,550","42,300","636,67K","-2,06%"
"07.05.2025","43,650","45,000","46,400","42,600","2,22M","-3,00%"
"06.05.2025","45,000","41,800","45,400","40,050","2,84M","11,25%"
"05.05.2025","40,450","42,350","42,950","40,000","1,38M","-3,80%"
"30.04.2025","42,050","43,000","43,000","41,900","957,11K","-2,32%"
