"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.06.2025","719,000","716,000","727,000","695,000","1,53M","1,84%"
"27.06.2025","706,000","690,000","715,000","690,000","1,46M","2,32%"
"26.06.2025","690,000","663,000","700,000","663,000","1,58M","5,18%"
"25.06.2025","656,000","628,000","665,000","614,000","853,60K","4,29%"
"24.06.2025","629,000","588,000","633,000","588,000","1,08M","7,71%"
"23.06.2025","584,000","621,000","625,000","582,000","1,84M","-6,11%"
"19.06.2025","622,000","627,000","638,000","610,000","940,87K","-0,96%"
"18.06.2025","628,000","649,000","649,000","623,000","690,41K","-0,63%"
"17.06.2025","632,000","655,000","669,000","625,000","1,66M","-3,95%"
"13.06.2025","658,000","689,000","692,000","645,000","1,31M","-4,36%"
"12.06.2025","688,000","680,000","700,000","676,000","660,35K","0,29%"
"11.06.2025","686,000","700,000","705,000","679,000","906,80K","-0,58%"
"10.06.2025","690,000","673,000","705,000","673,000","887,68K","1,77%"
"09.06.2025","678,000","708,000","708,000","677,000","694,12K","-4,10%"
"06.06.2025","707,000","710,000","718,000","680,000","1,27M","-0,14%"
"05.06.2025","708,000","700,000","716,000","676,000","683,45K","0,43%"
"04.06.2025","705,000","714,000","720,000","673,000","1,22M","-1,81%"
"03.06.2025","718,000","754,000","765,000","711,000","1,43M","-4,90%"
"02.06.2025","755,000","793,000","797,000","753,000","1,26M","-5,27%"
"30.05.2025","797,000","825,000","840,000","793,000","963,14K","-4,55%"
"29.05.2025","835,000","838,000","847,000","810,000","946,58K","0,60%"
"28.05.2025","830,000","800,000","838,000","800,000","1,08M","1,59%"
"27.05.2025","817,000","815,000","825,000","801,000","726,92K","1,11%"
"26.05.2025","808,000","793,000","810,000","791,000","983,19K","2,41%"
"23.05.2025","789,000","749,000","794,000","733,000","1,47M","3,54%"
"22.05.2025","762,000","760,000","781,000","741,000","1,00M","0,13%"
"21.05.2025","761,000","759,000","780,000","744,000","1,66M","1,33%"
"20.05.2025","751,000","736,000","755,000","705,000","1,73M","3,16%"
"19.05.2025","728,000","732,000","745,000","720,000","1,05M","-0,41%"
"16.05.2025","731,000","668,000","733,000","668,000","1,72M","6,87%"
"15.05.2025","684,000","678,000","690,000","655,000","1,08M","0,74%"
"14.05.2025","679,000","663,000","695,000","659,000","2,02M","2,41%"
"13.05.2025","663,000","629,000","672,000","596,000","2,36M","6,94%"
"12.05.2025","620,000","631,000","644,000","614,000","2,62M","-1,74%"
"09.05.2025","631,000","648,000","661,000","628,000","1,17M","-2,77%"
"08.05.2025","649,000","663,000","673,000","633,000","317,46K","-2,11%"
"07.05.2025","663,000","690,000","690,000","658,000","418,40K","-2,36%"
"06.05.2025","679,000","664,000","683,000","662,000","684,04K","3,03%"
"05.05.2025","659,000","650,000","669,000","643,000","547,35K","0,00%"
"30.04.2025","659,000","679,000","683,000","640,000","594,91K","-2,95%"
"29.04.2025","679,000","692,000","710,000","664,000","901,99K","-2,02%"
"28.04.2025","693,000","699,000","700,000","665,000","528,94K","-0,14%"
"25.04.2025","694,000","695,000","708,000","676,000","845,67K","0,58%"
"24.04.2025","690,000","700,000","725,000","682,000","1,04M","-1,29%"
"23.04.2025","699,000","661,000","705,000","659,000","1,93M","6,23%"
"22.04.2025","658,000","661,000","680,000","642,000","2,01M","-0,45%"
"21.04.2025","661,000","747,000","747,000","649,000","1,90M","-13,14%"
"16.04.2025","761,000","805,000","819,000","755,000","920,45K","-5,70%"
"15.04.2025","807,000","859,000","860,000","800,000","841,51K","-5,28%"
"14.04.2025","852,000","850,000","870,000","823,000","1,07M","4,03%"
"11.04.2025","819,000","799,000","825,000","781,000","1,23M","3,93%"
"10.04.2025","788,000","775,000","798,000","758,000","2,48M","-0,38%"
"09.04.2025","791,000","760,000","785,000","715,000","1,40M","4,22%"
"08.04.2025","759,000","787,000","825,000","739,000","1,01M","-3,56%"
"07.04.2025","787,000","782,000","793,000","741,000","763,81K","-0,76%"
"04.04.2025","793,000","798,000","799,000","733,000","1,01M","-2,70%"
"03.04.2025","815,000","845,000","865,000","804,000","759,60K","-5,89%"
"01.04.2025","866,000","881,000","885,000","851,000","769,95K","-1,70%"
"31.03.2025","881,000","860,000","885,000","845,000","646,26K","0,92%"
"28.03.2025","873,000","869,000","880,000","852,000","895,85K","0,34%"
"27.03.2025","870,000","880,000","882,000","851,000","724,45K","0,23%"
"26.03.2025","868,000","877,000","880,000","854,000","1,50M","-0,57%"
"25.03.2025","873,000","851,000","875,000","840,000","1,20M","2,59%"
