"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.06.2025","191,75","198,00","199,00","190,50","7,68M","-3,28%"
"27.06.2025","198,25","199,00","200,75","196,00","4,19M","-0,38%"
"26.06.2025","199,00","200,00","202,00","197,50","5,34M","-0,50%"
"25.06.2025","200,00","202,50","202,50","195,00","1,78M","-1,48%"
"24.06.2025","203,00","196,50","204,25","196,50","6,68M","3,70%"
"23.06.2025","195,75","198,00","200,00","190,00","5,93M","-2,37%"
"19.06.2025","200,50","198,00","203,00","196,00","3,95M","1,13%"
"18.06.2025","198,25","204,00","205,00","197,00","3,87M","-2,34%"
"17.06.2025","203,00","202,00","204,00","193,00","7,52M","0,62%"
"13.06.2025","201,75","212,25","213,75","200,00","10,36M","-4,95%"
"12.06.2025","212,25","209,00","215,00","201,00","12,73M","1,80%"
"11.06.2025","208,50","208,75","210,75","206,50","7,40M","-0,12%"
"10.06.2025","208,75","203,00","212,00","203,00","5,70M","2,96%"
"09.06.2025","202,75","208,50","210,00","202,00","3,04M","-3,45%"
"06.06.2025","210,00","206,75","212,00","203,00","2,67M","1,69%"
"05.06.2025","206,50","202,50","207,50","201,00","7,15M","0,98%"
"04.06.2025","204,50","208,50","213,50","203,00","8,35M","-1,92%"
"03.06.2025","208,50","211,00","220,00","204,00","3,87M","-1,18%"
"02.06.2025","211,00","220,00","222,00","209,50","5,09M","-3,98%"
"30.05.2025","219,75","222,00","222,00","215,50","5,65M","-1,01%"
"29.05.2025","222,00","219,00","223,00","216,00","21,33M","1,60%"
"28.05.2025","218,50","220,00","223,75","203,00","14,73M","-1,02%"
"27.05.2025","220,75","222,00","225,00","217,00","19,21M","1,15%"
"26.05.2025","218,25","213,25","220,00","211,50","13,38M","3,80%"
"23.05.2025","210,25","201,00","211,50","199,50","18,98M","4,21%"
"22.05.2025","201,75","198,00","205,25","197,00","12,21M","1,89%"
"21.05.2025","198,00","203,50","206,00","194,25","10,33M","-2,58%"
"20.05.2025","203,25","204,50","206,00","202,25","9,66M","-0,37%"
"19.05.2025","204,00","205,50","208,50","203,50","11,86M","0,49%"
"16.05.2025","203,00","204,50","207,00","201,75","11,49M","0,00%"
"15.05.2025","203,00","200,00","205,00","199,00","24,94M","-0,12%"
"14.05.2025","203,25","197,75","205,00","195,75","42,01M","3,44%"
"13.05.2025","196,50","194,50","198,75","192,75","15,25M","0,90%"
"12.05.2025","194,75","192,00","196,25","190,50","10,55M","2,91%"
"09.05.2025","189,25","194,50","195,00","187,50","10,98M","-1,05%"
"08.05.2025","191,25","198,50","198,50","189,50","5,11M","-3,53%"
"07.05.2025","198,25","202,50","202,50","195,25","2,99M","-0,75%"
"06.05.2025","199,75","196,00","200,75","194,00","3,74M","2,30%"
"05.05.2025","195,25","199,00","199,00","194,25","2,64M","-1,88%"
"30.04.2025","199,00","204,50","210,50","197,00","4,06M","-3,40%"
"29.04.2025","206,00","203,00","210,50","197,50","6,05M","1,60%"
"28.04.2025","202,75","205,00","209,00","202,00","4,03M","-1,46%"
"25.04.2025","205,75","210,00","211,75","200,75","3,82M","-1,08%"
"24.04.2025","208,00","215,75","215,75","205,00","10,57M","-1,30%"
"23.04.2025","210,75","205,00","213,00","205,00","13,61M","2,93%"
"22.04.2025","204,75","195,50","207,25","195,50","37,91M","4,33%"
"21.04.2025","196,25","202,00","202,00","190,50","9,55M","-4,15%"
"16.04.2025","204,75","220,00","222,50","203,00","5,46M","-5,32%"
"15.04.2025","216,25","221,00","224,50","215,00","4,31M","-2,26%"
"14.04.2025","221,25","234,00","235,00","212,50","25,87M","-5,54%"
"11.04.2025","234,23","234,98","237,48","228,48","16,03M","3,54%"
"10.04.2025","226,23","228,48","239,73","212,48","11,36M","-1,84%"
"09.04.2025","230,48","207,48","223,98","192,98","10,15M","10,95%"
"08.04.2025","207,73","220,98","230,48","199,48","10,34M","-3,03%"
"07.04.2025","214,23","202,98","217,98","199,98","7,13M","0,12%"
"04.04.2025","213,98","211,98","214,98","201,23","6,41M","-1,50%"
"03.04.2025","217,23","218,98","220,48","213,98","1,78M","-1,59%"
"01.04.2025","220,73","223,48","226,98","219,98","2,92M","-1,12%"
"31.03.2025","223,23","219,98","229,48","215,48","9,97M","0,00%"
"28.03.2025","223,23","224,48","224,48","218,23","9,13M","0,45%"
"27.03.2025","222,23","218,48","224,73","218,48","17,60M","2,89%"
"26.03.2025","215,98","219,98","222,98","213,48","4,95M","-1,82%"
"25.03.2025","219,98","220,23","222,98","218,98","6,10M","0,57%"
"21.03.2025","218,73","217,98","219,98","212,48","11,72M","0,57%"
"20.03.2025","217,48","220,98","224,98","215,48","4,20M","-2,03%"
"19.03.2025","221,98","220,48","222,98","214,98","6,27M","1,49%"
"18.03.2025","218,73","221,98","224,73","216,73","7,04M","-2,67%"
"17.03.2025","224,73","222,98","228,23","222,48","5,65M","0,33%"
"14.03.2025","223,98","220,73","227,48","220,73","5,11M","1,70%"
"13.03.2025","220,23","224,23","232,48","217,98","7,17M","-2,00%"
"12.03.2025","224,73","222,98","226,98","222,48","9,28M","1,01%"
"11.03.2025","222,48","224,98","233,48","217,98","2,93M","-1,22%"
"10.03.2025","225,23","233,23","234,23","220,48","3,79M","-4,15%"
"07.03.2025","234,98","244,98","248,48","232,48","4,79M","-1,98%"
"06.03.2025","239,73","239,98","247,48","237,98","6,92M","0,74%"
"05.03.2025","237,98","217,98","241,48","212,48","3,84M","9,93%"
"28.02.2025","216,48","218,48","225,98","212,98","3,75M","-1,59%"
