"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.06.2025","1.410,00","1.410,00","1.450,00","1.380,00","1,45M","-1,05%"
"27.06.2025","1.425,00","1.410,00","1.435,00","1.400,00","665,15K","1,06%"
"26.06.2025","1.410,00","1.395,00","1.435,00","1.395,00","952,04K","1,81%"
"25.06.2025","1.385,00","1.430,00","1.430,00","1.375,00","669,26K","-3,15%"
"24.06.2025","1.430,00","1.375,00","1.460,00","1.375,00","1,27M","5,15%"
"23.06.2025","1.360,00","1.405,00","1.405,00","1.345,00","1,25M","-5,56%"
"19.06.2025","1.440,00","1.430,00","1.485,00","1.405,00","281,95K","0,70%"
"18.06.2025","1.430,00","1.400,00","1.455,00","1.400,00","1,61M","1,42%"
"17.06.2025","1.410,00","1.450,00","1.450,00","1.390,00","932,30K","-3,75%"
"13.06.2025","1.465,00","1.500,00","1.515,00","1.435,00","1,05M","-2,01%"
"12.06.2025","1.495,00","1.505,00","1.530,00","1.470,00","1,16M","1,70%"
"11.06.2025","1.470,00","1.510,00","1.525,00","1.465,00","1,19M","-2,65%"
"10.06.2025","1.510,00","1.460,00","1.530,00","1.460,00","1,08M","3,78%"
"09.06.2025","1.455,00","1.485,00","1.505,00","1.445,00","1,11M","-2,35%"
"06.06.2025","1.490,00","1.485,00","1.515,00","1.445,00","747,32K","1,36%"
"05.06.2025","1.470,00","1.430,00","1.480,00","1.425,00","1,33M","2,44%"
"04.06.2025","1.435,00","1.505,00","1.510,00","1.430,00","1,68M","-4,65%"
"03.06.2025","1.505,00","1.485,00","1.530,00","1.485,00","786,35K","0,33%"
"02.06.2025","1.500,00","1.570,00","1.570,00","1.495,00","676,47K","-4,15%"
"30.05.2025","1.565,00","1.610,00","1.620,00","1.560,00","1,00M","-3,40%"
"29.05.2025","1.620,00","1.590,00","1.625,00","1.580,00","1,35M","2,21%"
"28.05.2025","1.585,00","1.590,00","1.605,00","1.540,00","1,28M","-1,55%"
"27.05.2025","1.610,00","1.615,00","1.615,00","1.585,00","1,90M","-0,31%"
"26.05.2025","1.615,00","1.590,00","1.640,00","1.590,00","757,60K","1,89%"
"23.05.2025","1.585,00","1.575,00","1.590,00","1.540,00","3,64M","-0,63%"
"22.05.2025","1.595,00","1.565,00","1.600,00","1.520,00","2,40M","1,92%"
"21.05.2025","1.565,00","1.630,00","1.655,00","1.560,00","1,97M","-3,99%"
"20.05.2025","1.630,00","1.575,00","1.640,00","1.540,00","2,50M","3,16%"
"19.05.2025","1.580,00","1.550,00","1.615,00","1.535,00","1,01M","2,60%"
"16.05.2025","1.540,00","1.510,00","1.545,00","1.495,00","820,45K","-0,32%"
"15.05.2025","1.545,00","1.495,00","1.590,00","1.480,00","2,18M","1,98%"
"14.05.2025","1.515,00","1.500,00","1.570,00","1.420,00","2,93M","3,06%"
"13.05.2025","1.470,00","1.430,00","1.495,00","1.420,00","1,25M","3,16%"
"12.05.2025","1.425,00","1.400,00","1.445,00","1.355,00","1,97M","4,01%"
"09.05.2025","1.370,00","1.275,00","1.390,00","1.270,00","2,29M","8,30%"
"08.05.2025","1.265,00","1.265,00","1.290,00","1.240,00","712,80K","0,00%"
"07.05.2025","1.265,00","1.290,00","1.295,00","1.230,00","1,22M","-1,94%"
"06.05.2025","1.290,00","1.250,00","1.300,00","1.240,00","803,69K","3,20%"
"05.05.2025","1.250,00","1.250,00","1.290,00","1.220,00","770,17K","-0,79%"
"30.04.2025","1.260,00","1.290,00","1.305,00","1.250,00","839,67K","-3,08%"
"29.04.2025","1.300,00","1.290,00","1.330,00","1.285,00","787,75K","1,17%"
"28.04.2025","1.285,00","1.330,00","1.330,00","1.265,00","707,49K","-2,65%"
"25.04.2025","1.320,00","1.340,00","1.350,00","1.305,00","821,75K","-0,75%"
"24.04.2025","1.330,00","1.345,00","1.410,00","1.310,00","971,75K","-1,85%"
"23.04.2025","1.355,00","1.320,00","1.380,00","1.320,00","2,15M","3,83%"
"22.04.2025","1.305,00","1.260,00","1.320,00","1.250,00","792,47K","5,24%"
"21.04.2025","1.240,00","1.300,00","1.300,00","1.205,00","641,19K","-6,06%"
"16.04.2025","1.320,00","1.390,00","1.410,00","1.310,00","414,83K","-5,71%"
"15.04.2025","1.400,00","1.460,00","1.460,00","1.370,00","621,12K","-2,10%"
"14.04.2025","1.430,00","1.540,00","1.555,00","1.400,00","2,54M","-0,69%"
"11.04.2025","1.440,00","1.420,00","1.490,00","1.365,00","975,24K","5,88%"
"10.04.2025","1.360,00","1.320,00","1.390,00","1.295,00","1,27M","-0,73%"
"09.04.2025","1.370,00","1.270,00","1.450,00","1.190,00","1,94M","9,16%"
"08.04.2025","1.255,00","1.335,00","1.375,00","1.230,00","1,47M","-3,09%"
"07.04.2025","1.295,00","1.275,00","1.375,00","1.270,00","1,56M","-3,36%"
"04.04.2025","1.340,00","1.390,00","1.390,00","1.285,00","1,71M","-8,22%"
"03.04.2025","1.460,00","1.450,00","1.490,00","1.420,00","431,82K","-1,68%"
"01.04.2025","1.485,00","1.470,00","1.525,00","1.445,00","778,01K","2,06%"
"31.03.2025","1.455,00","1.480,00","1.505,00","1.440,00","1,32M","-3,64%"
"28.03.2025","1.510,00","1.540,00","1.540,00","1.495,00","514,69K","-2,27%"
"27.03.2025","1.545,00","1.620,00","1.630,00","1.530,00","676,12K","-1,90%"
"26.03.2025","1.575,00","1.615,00","1.625,00","1.555,00","676,96K","-2,48%"
"25.03.2025","1.615,00","1.625,00","1.640,00","1.590,00","1,71M","-0,62%"
"21.03.2025","1.625,00","1.620,00","1.635,00","1.550,00","461,40K","2,52%"
"20.03.2025","1.585,00","1.570,00","1.600,00","1.560,00","623,57K","1,28%"
"19.03.2025","1.565,00","1.515,00","1.585,00","1.515,00","1,20M","3,64%"
"18.03.2025","1.510,00","1.515,00","1.550,00","1.490,00","694,18K","-1,63%"
"17.03.2025","1.535,00","1.540,00","1.575,00","1.525,00","645,39K","0,00%"
"14.03.2025","1.535,00","1.510,00","1.550,00","1.470,00","741,12K","3,37%"
"13.03.2025","1.485,00","1.530,00","1.530,00","1.465,00","627,46K","-2,94%"
"12.03.2025","1.530,00","1.435,00","1.570,00","1.430,00","1,20M","6,99%"
"11.03.2025","1.430,00","1.430,00","1.480,00","1.380,00","963,05K","0,70%"
"10.03.2025","1.420,00","1.475,00","1.475,00","1.390,00","777,48K","-5,02%"
"07.03.2025","1.495,00","1.525,00","1.525,00","1.435,00","715,76K","-0,33%"
"06.03.2025","1.500,00","1.520,00","1.520,00","1.465,00","686,24K","0,00%"
"05.03.2025","1.500,00","1.445,00","1.515,00","1.425,00","848,41K","6,38%"
"28.02.2025","1.410,00","1.420,00","1.470,00","1.380,00","1,24M","-1,40%"
"27.02.2025","1.430,00","1.455,00","1.500,00","1.400,00","1,76M","-2,39%"
"26.02.2025","1.465,00","1.495,00","1.520,00","1.455,00","623,15K","-2,01%"
"25.02.2025","1.495,00","1.545,00","1.590,00","1.485,00","1,28M","-5,08%"
