"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.06.2025","118,500","124,250","126,500","117,750","7,74M","-4,63%"
"27.06.2025","124,250","122,750","125,500","122,000","1,82M","0,20%"
"26.06.2025","124,000","123,750","126,750","122,500","3,08M","0,20%"
"25.06.2025","123,750","126,000","127,500","122,250","3,52M","-2,56%"
"24.06.2025","127,000","123,250","129,500","123,250","4,86M","4,10%"
"23.06.2025","122,000","130,000","130,000","121,000","5,82M","-6,15%"
"19.06.2025","130,000","130,000","132,250","128,000","2,73M","0,00%"
"18.06.2025","130,000","132,000","134,000","128,250","3,08M","-1,89%"
"17.06.2025","132,500","138,000","138,250","131,750","5,61M","-4,16%"
"13.06.2025","138,250","146,000","148,500","137,750","3,32M","-5,15%"
"12.06.2025","145,750","146,500","150,000","142,500","2,77M","1,22%"
"11.06.2025","144,000","148,500","150,000","143,000","2,34M","-1,54%"
"10.06.2025","146,250","143,500","149,750","139,750","3,29M","1,92%"
"09.06.2025","143,500","148,750","148,750","143,000","1,71M","-3,20%"
"06.06.2025","148,250","145,250","151,000","143,000","3,50M","2,07%"
"05.06.2025","145,250","150,000","151,750","144,000","2,79M","-3,01%"
"04.06.2025","149,750","147,750","153,000","144,000","6,05M","1,35%"
"03.06.2025","147,750","143,000","151,500","136,000","6,20M","3,14%"
"02.06.2025","143,250","155,000","156,500","142,750","7,39M","-7,58%"
"30.05.2025","155,000","159,000","159,000","153,750","3,81M","-2,67%"
"29.05.2025","159,250","166,750","167,500","158,000","6,08M","-4,50%"
"28.05.2025","166,750","168,500","169,750","165,250","6,05M","-2,49%"
"27.05.2025","171,000","167,000","172,000","163,500","4,15M","2,09%"
"26.05.2025","167,500","169,000","169,000","164,750","2,41M","1,52%"
"23.05.2025","165,000","164,000","170,000","162,000","3,28M","0,76%"
"22.05.2025","163,750","163,000","166,250","161,500","4,22M","0,61%"
"21.05.2025","162,750","174,500","177,000","161,250","5,19M","-5,79%"
"20.05.2025","172,750","173,250","175,500","169,250","4,29M","0,00%"
"19.05.2025","172,750","172,000","178,500","168,000","4,85M","1,62%"
"16.05.2025","170,000","175,000","179,750","169,000","4,90M","-2,44%"
"15.05.2025","174,250","173,500","182,750","168,500","8,84M","0,29%"
"14.05.2025","173,750","166,000","179,000","161,000","19,02M","8,93%"
"13.05.2025","159,500","143,250","160,000","142,000","11,36M","11,34%"
"12.05.2025","143,250","138,500","145,000","137,000","4,20M","6,08%"
"09.05.2025","135,045","133,552","138,278","132,558","3,41M","1,12%"
"08.05.2025","133,552","136,288","137,532","131,065","5,39M","-1,83%"
"07.05.2025","136,039","143,252","144,247","134,547","3,59M","-4,87%"
"06.05.2025","143,003","135,045","143,749","132,806","4,92M","6,88%"
"05.05.2025","133,801","127,335","135,293","124,848","9,73M","2,87%"
"30.04.2025","130,071","135,045","135,293","129,076","3,34M","-3,86%"
"29.04.2025","135,293","134,796","142,754","133,304","3,98M","-1,45%"
"28.04.2025","137,283","139,273","139,273","134,299","2,45M","-1,25%"
"25.04.2025","139,024","145,490","145,739","137,780","3,43M","-4,44%"
"24.04.2025","145,490","148,723","154,443","145,241","3,32M","-2,17%"
"23.04.2025","148,723","144,744","150,464","142,754","7,79M","4,91%"
"22.04.2025","141,760","133,304","143,003","133,304","3,31M","7,55%"
"21.04.2025","131,812","143,252","143,252","131,314","3,46M","-7,83%"
"16.04.2025","143,003","157,925","160,163","142,008","6,23M","-9,16%"
"15.04.2025","157,428","161,656","166,132","154,195","3,93M","-2,76%"
"14.04.2025","161,904","168,122","168,619","158,174","3,58M","4,33%"
"11.04.2025","155,189","156,682","166,132","153,200","4,80M","1,13%"
"10.04.2025","153,449","149,221","164,143","141,262","3,50M","3,52%"
"09.04.2025","148,226","134,299","150,215","124,351","5,57M","8,36%"
"08.04.2025","136,786","152,205","158,174","134,299","4,02M","-6,46%"
"07.04.2025","146,236","143,749","152,205","143,749","4,88M","-4,23%"
"04.04.2025","152,702","163,397","163,397","151,708","4,85M","-9,97%"
