"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.06.2025","6.059,419","6.258,742","6.298,607","5.919,893","4,56M","-2,42%"
"27.06.2025","6.210,000","6.200,000","6.280,000","6.160,000","1,19M","-0,48%"
"26.06.2025","6.240,000","6.290,000","6.380,000","6.210,000","1,86M","0,32%"
"25.06.2025","6.220,000","6.200,000","6.310,000","6.160,000","2,58M","-1,11%"
"24.06.2025","6.290,000","6.070,000","6.370,000","6.070,000","3,64M","4,66%"
"23.06.2025","6.010,000","6.100,000","6.140,000","5.930,000","5,26M","-5,65%"
"19.06.2025","6.370,000","6.350,000","6.400,000","6.330,000","777,75K","0,47%"
"18.06.2025","6.340,000","6.400,000","6.450,000","6.330,000","2,66M","-1,25%"
"17.06.2025","6.420,000","6.420,000","6.530,000","6.310,000","3,30M","-1,68%"
"13.06.2025","6.530,000","6.580,000","6.670,000","6.460,000","2,17M","-2,39%"
"12.06.2025","6.690,000","6.720,000","6.850,000","6.640,000","2,96M","0,00%"
"11.06.2025","6.690,000","6.680,000","6.730,000","6.510,000","8,28M","-2,19%"
"10.06.2025","6.840,000","6.550,000","6.910,000","6.530,000","5,56M","5,39%"
"09.06.2025","6.490,000","6.550,000","6.590,000","6.470,000","3,96M","-2,11%"
"06.06.2025","6.630,000","6.550,000","6.720,000","6.400,000","2,30M","1,84%"
"05.06.2025","6.510,000","6.480,000","6.590,000","6.430,000","3,31M","0,46%"
"04.06.2025","6.480,000","6.690,000","6.760,000","6.460,000","7,46M","-4,71%"
"03.06.2025","6.800,000","6.740,000","6.850,000","6.660,000","2,59M","0,29%"
"02.06.2025","6.780,000","6.930,000","6.930,000","6.770,000","4,16M","-2,59%"
"30.05.2025","6.960,000","6.890,000","7.020,000","6.850,000","2,78M","0,00%"
"29.05.2025","6.960,000","7.010,000","7.070,000","6.910,000","6,85M","-2,38%"
"28.05.2025","7.130,000","6.860,000","7.220,000","6.790,000","9,21M","-1,25%"
"27.05.2025","7.220,000","7.350,000","7.410,000","7.190,000","3,40M","-1,50%"
"26.05.2025","7.330,000","7.330,000","7.540,000","7.300,000","1,06M","0,00%"
"23.05.2025","7.330,000","7.130,000","7.360,000","7.060,000","2,80M","1,81%"
"22.05.2025","7.200,000","7.300,000","7.370,000","7.170,000","2,30M","-0,55%"
"21.05.2025","7.240,000","7.460,000","7.490,000","7.200,000","2,82M","-2,29%"
"20.05.2025","7.410,000","7.400,000","7.500,000","7.360,000","2,14M","0,14%"
"19.05.2025","7.400,000","7.410,000","7.530,000","7.380,000","2,86M","1,37%"
"16.05.2025","7.300,000","7.190,000","7.330,000","7.100,000","3,72M","1,67%"
"15.05.2025","7.180,000","7.060,000","7.230,000","7.000,000","1,85M","-0,83%"
"14.05.2025","7.240,000","7.330,000","7.330,000","7.130,000","1,93M","-0,96%"
"13.05.2025","7.310,000","7.280,000","7.350,000","7.150,000","5,55M","0,27%"
"12.05.2025","7.290,000","6.940,000","7.300,000","6.850,000","7,78M","7,52%"
"09.05.2025","6.780,000","6.840,000","6.920,000","6.700,000","2,14M","-0,08%"
"08.05.2025","6.785,211","6.765,372","6.814,971","6.596,733","3,11M","0,59%"
"07.05.2025","6.745,532","7.013,369","7.013,369","6.705,853","2,90M","-4,23%"
"06.05.2025","7.043,129","6.973,690","7.132,408","6.914,170","2,68M","1,72%"
"05.05.2025","6.924,090","6.973,690","7.092,729","6.854,651","2,41M","-3,70%"
"30.04.2025","7.190,000","7.170,000","7.340,000","7.070,000","2,32M","-1,37%"
"29.04.2025","7.290,000","7.420,000","7.470,000","7.240,000","1,63M","-1,88%"
"28.04.2025","7.430,000","7.610,000","7.690,000","7.310,000","1,47M","-2,37%"
"25.04.2025","7.610,000","7.520,000","7.730,000","7.520,000","2,02M","0,40%"
"24.04.2025","7.580,000","7.600,000","7.930,000","7.540,000","3,52M","0,00%"
"23.04.2025","7.580,000","7.460,000","7.720,000","7.460,000","3,90M","4,12%"
"22.04.2025","7.280,000","6.880,000","7.350,000","6.880,000","2,79M","6,43%"
"21.04.2025","6.840,000","7.000,000","7.050,000","6.690,000","2,10M","-3,25%"
"16.04.2025","7.070,000","7.450,000","7.500,000","7.010,000","3,00M","-4,59%"
"15.04.2025","7.410,000","7.750,000","7.790,000","7.360,000","3,75M","-4,02%"
"14.04.2025","7.720,000","7.710,000","7.900,000","7.370,000","5,58M","6,93%"
"11.04.2025","7.220,000","6.900,000","7.390,000","6.880,000","5,68M","8,25%"
"10.04.2025","6.670,000","6.730,000","6.830,000","6.420,000","3,71M","-4,44%"
"09.04.2025","6.980,000","6.260,000","7.100,000","5.930,000","5,31M","11,86%"
"08.04.2025","6.240,000","6.530,000","6.580,000","6.130,000","7,36M","1,30%"
"07.04.2025","6.160,000","6.140,000","6.570,000","6.100,000","4,41M","-4,35%"
"04.04.2025","6.440,000","6.710,000","6.710,000","6.250,000","5,42M","-8,91%"
"03.04.2025","7.070,000","6.990,000","7.160,000","6.950,000","1,77M","-2,48%"
"01.04.2025","7.250,000","7.180,000","7.390,000","7.140,000","1,88M","1,26%"
