"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.06.2025","2.560,000","2.605,000","2.700,000","2.495,000","881,71K","-3,03%"
"27.06.2025","2.640,000","2.660,000","2.670,000","2.600,000","335,17K","-0,94%"
"26.06.2025","2.665,000","2.670,000","2.745,000","2.645,000","349,75K","0,38%"
"25.06.2025","2.655,000","2.650,000","2.695,000","2.625,000","395,91K","-2,57%"
"24.06.2025","2.725,000","2.530,000","2.750,000","2.505,000","2,02M","9,88%"
"23.06.2025","2.480,000","2.515,000","2.515,000","2.415,000","1,27M","-3,13%"
"19.06.2025","2.560,000","2.550,000","2.585,000","2.530,000","200,61K","0,20%"
"18.06.2025","2.555,000","2.605,000","2.650,000","2.550,000","1,44M","-1,92%"
"17.06.2025","2.605,000","2.670,000","2.725,000","2.585,000","1,51M","-3,70%"
"13.06.2025","2.705,000","2.820,000","2.835,000","2.670,000","1,46M","-5,42%"
"12.06.2025","2.860,000","2.845,000","2.910,000","2.805,000","2,10M","0,53%"
"11.06.2025","2.845,000","2.945,000","2.975,000","2.835,000","2,52M","-4,85%"
"10.06.2025","2.990,000","2.870,000","3.055,000","2.870,000","1,54M","4,91%"
"09.06.2025","2.850,000","2.900,000","2.905,000","2.830,000","977,91K","-2,40%"
"06.06.2025","2.920,000","2.800,000","2.970,000","2.790,000","1,16M","2,82%"
"05.06.2025","2.840,000","2.830,000","2.885,000","2.785,000","914,26K","0,35%"
"04.06.2025","2.830,000","3.020,000","3.020,000","2.810,000","2,32M","-6,91%"
"03.06.2025","3.040,000","3.070,000","3.125,000","2.995,000","683,18K","-0,16%"
"02.06.2025","3.045,000","3.200,000","3.200,000","3.025,000","575,46K","-2,87%"
"30.05.2025","3.135,000","3.165,000","3.190,000","3.100,000","1,19M","-1,10%"
"29.05.2025","3.170,000","3.300,000","3.300,000","3.160,000","2,06M","-5,23%"
"28.05.2025","3.345,000","3.310,000","3.435,000","3.150,000","3,17M","-3,74%"
"27.05.2025","3.475,000","3.700,000","3.700,000","3.445,000","2,54M","-5,70%"
"26.05.2025","3.685,000","3.660,000","3.800,000","3.660,000","308,51K","0,68%"
"23.05.2025","3.660,000","3.700,000","3.700,000","3.575,000","835,00K","-1,48%"
"22.05.2025","3.715,000","3.670,000","3.820,000","3.660,000","1,09M","1,23%"
"21.05.2025","3.670,000","3.870,000","3.885,000","3.630,000","1,27M","-4,55%"
"20.05.2025","3.845,000","3.800,000","3.905,000","3.750,000","764,21K","1,45%"
"19.05.2025","3.790,000","3.670,000","3.895,000","3.670,000","899,25K","5,87%"
"16.05.2025","3.580,000","3.555,000","3.590,000","3.460,000","590,83K","1,70%"
"15.05.2025","3.520,000","3.510,000","3.595,000","3.400,000","336,77K","-2,22%"
"14.05.2025","3.600,000","3.600,000","3.660,000","3.490,000","588,53K","-0,69%"
"13.05.2025","3.625,000","3.690,000","3.705,000","3.495,000","717,89K","0,97%"
"12.05.2025","3.590,000","3.480,000","3.635,000","3.385,000","598,46K","6,37%"
"09.05.2025","3.375,000","3.480,000","3.480,000","3.310,000","275,81K","1,50%"
"08.05.2025","3.325,000","3.360,000","3.370,000","3.200,000","327,30K","-0,45%"
"07.05.2025","3.340,000","3.550,000","3.550,000","3.310,000","352,82K","-4,02%"
"06.05.2025","3.480,000","3.370,000","3.540,000","3.340,000","486,93K","4,66%"
"05.05.2025","3.325,000","3.500,000","3.550,000","3.255,000","617,84K","-5,41%"
"30.04.2025","3.515,000","3.590,000","3.620,000","3.440,000","209,72K","-2,90%"
"29.04.2025","3.620,000","3.720,000","3.750,000","3.600,000","600,45K","-0,35%"
"28.04.2025","3.632,830","3.731,015","3.809,563","3.549,373","306,47K","-2,25%"
"25.04.2025","3.716,287","3.721,196","3.794,835","3.691,741","804,26K","0,66%"
"24.04.2025","3.691,741","3.731,015","3.956,839","3.677,013","736,34K","-1,18%"
"23.04.2025","3.735,924","3.662,286","3.868,473","3.632,830","942,83K","3,26%"
"22.04.2025","3.618,103","3.357,913","3.632,830","3.357,913","569,40K","5,95%"
"21.04.2025","3.415,000","3.535,000","3.570,000","3.325,000","621,05K","-3,39%"
"16.04.2025","3.535,000","3.710,000","3.745,000","3.490,000","573,14K","-4,20%"
"15.04.2025","3.690,000","3.900,000","3.945,000","3.650,000","1,79M","-4,65%"
"14.04.2025","3.870,000","3.995,000","4.000,000","3.590,000","2,08M","10,41%"
"11.04.2025","3.505,000","3.300,000","3.700,000","3.300,000","2,30M","9,19%"
"10.04.2025","3.210,000","3.350,000","3.350,000","3.015,000","1,36M","-5,03%"
"09.04.2025","3.380,000","2.960,000","3.450,000","2.775,000","1,95M","14,77%"
"08.04.2025","2.945,000","3.065,000","3.155,000","2.910,000","2,41M","2,79%"
"07.04.2025","2.865,000","2.850,000","3.040,000","2.800,000","864,53K","-2,72%"
"04.04.2025","2.945,000","3.135,000","3.135,000","2.820,000","2,57M","-10,62%"
"03.04.2025","3.295,000","3.340,000","3.360,000","3.265,000","202,42K","-4,08%"
"01.04.2025","3.435,000","3.450,000","3.530,000","3.400,000","903,41K","0,00%"
"31.03.2025","3.435,000","3.470,000","3.490,000","3.380,000","579,74K","-3,38%"
"28.03.2025","3.555,000","3.640,000","3.640,000","3.480,000","559,14K","-2,60%"
"27.03.2025","3.650,000","3.935,000","3.955,000","3.635,000","1,09M","-4,07%"
"26.03.2025","3.805,000","3.955,000","4.010,000","3.730,000","1,07M","-2,81%"
"25.03.2025","3.915,000","3.735,000","3.965,000","3.715,000","743,54K","4,82%"
"21.03.2025","3.735,000","3.590,000","3.760,000","3.500,000","631,45K","6,11%"
