"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.06.2025","1.685,00","1.700,00","1.720,00","1.655,00","283,73K","0,00%"
"27.06.2025","1.685,00","1.675,00","1.720,00","1.670,00","84,97K","-0,59%"
"26.06.2025","1.695,00","1.700,00","1.715,00","1.675,00","93,69K","0,89%"
"25.06.2025","1.680,00","1.690,00","1.705,00","1.660,00","115,21K","-0,59%"
"24.06.2025","1.690,00","1.660,00","1.725,00","1.650,00","149,88K","1,81%"
"23.06.2025","1.660,00","1.615,00","1.675,00","1.610,00","497,89K","2,47%"
"19.06.2025","1.620,00","1.610,00","1.640,00","1.580,00","51,76K","0,62%"
"18.06.2025","1.610,00","1.625,00","1.645,00","1.595,00","122,99K","-1,53%"
"17.06.2025","1.635,00","1.650,00","1.675,00","1.600,00","348,11K","-0,91%"
"13.06.2025","1.650,00","1.710,00","1.725,00","1.620,00","321,03K","-3,23%"
"12.06.2025","1.705,00","1.700,00","1.805,00","1.675,00","147,29K","0,29%"
"11.06.2025","1.700,00","1.810,00","1.810,00","1.690,00","234,47K","-4,76%"
"10.06.2025","1.785,00","1.735,00","1.805,00","1.735,00","145,99K","2,88%"
"09.06.2025","1.735,00","1.790,00","1.800,00","1.735,00","88,33K","-3,07%"
"06.06.2025","1.790,00","1.745,00","1.810,00","1.710,00","78,41K","2,29%"
"05.06.2025","1.750,00","1.785,00","1.800,00","1.730,00","112,43K","-2,23%"
"04.06.2025","1.790,00","1.810,00","1.825,00","1.780,00","269,25K","-1,65%"
"03.06.2025","1.820,00","1.840,00","1.845,00","1.795,00","168,60K","0,28%"
"02.06.2025","1.815,00","1.805,00","1.835,00","1.785,00","247,32K","0,00%"
"30.05.2025","1.815,00","1.820,00","1.850,00","1.780,00","376,84K","-0,55%"
"29.05.2025","1.825,00","1.820,00","1.840,00","1.790,00","170,70K","1,11%"
"28.05.2025","1.805,00","1.810,00","1.840,00","1.785,00","100,56K","-1,10%"
"27.05.2025","1.825,00","1.810,00","1.835,00","1.790,00","154,39K","0,83%"
"26.05.2025","1.810,00","1.790,00","1.840,00","1.750,00","99,78K","1,40%"
"23.05.2025","1.785,00","1.750,00","1.810,00","1.745,00","319,00K","0,28%"
"22.05.2025","1.780,00","1.790,00","1.820,00","1.770,00","238,87K","-1,39%"
"21.05.2025","1.805,00","1.840,00","1.890,00","1.785,00","167,09K","-1,90%"
"20.05.2025","1.840,00","1.840,00","1.865,00","1.795,00","269,64K","2,22%"
"19.05.2025","1.800,00","1.815,00","1.830,00","1.775,00","204,70K","1,41%"
"16.05.2025","1.775,00","1.810,00","1.810,00","1.750,00","104,79K","0,28%"
"15.05.2025","1.770,00","1.775,00","1.775,00","1.725,00","131,67K","0,85%"
"14.05.2025","1.755,00","1.790,00","1.800,00","1.720,00","208,74K","-1,96%"
"13.05.2025","1.790,00","1.800,00","1.805,00","1.735,00","348,67K","1,13%"
"12.05.2025","1.770,00","1.705,00","1.780,00","1.705,00","369,18K","1,14%"
"09.05.2025","1.750,00","1.750,00","1.780,00","1.700,00","262,89K","2,94%"
"08.05.2025","1.700,00","1.680,00","1.730,00","1.645,00","284,50K","1,49%"
"07.05.2025","1.675,00","1.750,00","1.750,00","1.615,00","289,21K","-1,47%"
"06.05.2025","1.700,00","1.695,00","1.725,00","1.655,00","148,41K","2,10%"
