"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.06.2025","2.650,000","2.740,000","2.770,000","2.630,000","226,07K","-2,57%"
"27.06.2025","2.720,000","2.650,000","2.735,000","2.645,000","143,48K","1,30%"
"26.06.2025","2.685,000","2.675,000","2.760,000","2.645,000","284,88K","0,37%"
"25.06.2025","2.675,000","2.750,000","2.750,000","2.645,000","279,66K","-3,78%"
"24.06.2025","2.780,000","2.650,000","2.800,000","2.650,000","189,35K","5,50%"
"23.06.2025","2.635,000","2.680,000","2.680,000","2.575,000","570,08K","-4,87%"
"19.06.2025","2.770,000","2.620,000","2.775,000","2.620,000","303,08K","2,40%"
"18.06.2025","2.705,000","2.735,000","2.785,000","2.685,000","343,60K","1,50%"
"17.06.2025","2.665,000","2.730,000","2.745,000","2.640,000","820,25K","-3,79%"
"13.06.2025","2.770,000","2.900,000","2.900,000","2.715,000","335,62K","-5,30%"
"12.06.2025","2.925,000","2.900,000","2.965,000","2.860,000","395,63K","2,09%"
"11.06.2025","2.865,000","2.940,000","2.950,000","2.850,000","221,91K","-2,22%"
"10.06.2025","2.930,000","2.900,000","2.965,000","2.850,000","312,36K","2,99%"
"09.06.2025","2.845,000","2.880,000","2.910,000","2.825,000","344,66K","-1,22%"
"06.06.2025","2.880,000","2.895,000","2.935,000","2.835,000","229,39K","-0,52%"
"05.06.2025","2.895,000","2.940,000","3.010,000","2.880,000","454,89K","-3,18%"
"04.06.2025","2.990,000","2.990,000","3.025,000","2.935,000","671,50K","-0,66%"
"03.06.2025","3.010,000","2.970,000","3.030,000","2.880,000","355,32K","1,35%"
"02.06.2025","2.970,000","3.045,000","3.055,000","2.940,000","287,38K","-2,46%"
"30.05.2025","3.045,000","3.135,000","3.135,000","3.010,000","473,46K","-2,40%"
"29.05.2025","3.120,000","3.100,000","3.140,000","3.010,000","875,88K","1,30%"
"28.05.2025","3.080,000","3.170,000","3.185,000","3.040,000","1,07M","-4,94%"
"27.05.2025","3.240,000","3.270,000","3.270,000","3.175,000","606,25K","-1,67%"
"26.05.2025","3.295,000","3.195,000","3.500,000","3.190,000","651,06K","3,13%"
"23.05.2025","3.195,000","3.020,000","3.220,000","3.000,000","442,19K","3,23%"
"22.05.2025","3.095,000","3.025,000","3.125,000","2.965,000","755,40K","2,31%"
"21.05.2025","3.025,000","3.125,000","3.180,000","3.005,000","1,35M","-1,47%"
"20.05.2025","3.070,000","3.010,000","3.120,000","3.010,000","1,29M","3,89%"
"19.05.2025","2.955,000","2.885,000","2.965,000","2.855,000","471,48K","2,43%"
"16.05.2025","2.885,000","2.805,000","2.910,000","2.795,000","233,70K","1,05%"
"15.05.2025","2.855,000","2.810,000","2.875,000","2.740,000","281,58K","1,60%"
"14.05.2025","2.810,000","2.900,000","2.900,000","2.720,000","580,10K","-1,58%"
"13.05.2025","2.855,000","2.790,000","2.895,000","2.715,000","580,81K","3,44%"
"12.05.2025","2.760,000","2.670,000","2.790,000","2.620,000","603,73K","3,76%"
"09.05.2025","2.660,000","2.650,000","2.710,000","2.570,000","254,96K","2,70%"
"08.05.2025","2.590,000","2.555,000","2.625,000","2.515,000","565,17K","0,39%"
"07.05.2025","2.580,000","2.750,000","2.750,000","2.565,000","278,92K","-6,52%"
"06.05.2025","2.760,000","2.670,000","2.800,000","2.635,000","242,06K","3,56%"
"05.05.2025","2.665,000","2.670,000","2.710,000","2.585,000","330,45K","-0,19%"
"30.04.2025","2.670,000","2.730,000","2.735,000","2.630,000","419,15K","-1,84%"
"29.04.2025","2.720,000","2.770,000","2.830,000","2.710,000","251,22K","-1,27%"
"28.04.2025","2.755,000","2.800,000","2.835,000","2.665,000","300,13K","-0,72%"
"25.04.2025","2.775,000","2.800,000","2.840,000","2.715,000","496,10K","-2,29%"
