"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.06.2025","205,500","207,250","216,250","200,000","239,76K","-3,29%"
"27.06.2025","212,500","205,750","220,000","203,000","205,18K","2,29%"
"26.06.2025","207,750","206,000","211,250","201,000","248,21K","0,48%"
"25.06.2025","206,750","214,000","215,750","204,000","269,21K","-2,59%"
"24.06.2025","212,250","208,000","219,750","208,000","322,56K","2,54%"
"23.06.2025","207,000","218,000","218,000","205,000","229,80K","-5,80%"
"19.06.2025","219,750","220,000","224,000","218,000","73,30K","-0,68%"
"18.06.2025","221,250","219,000","225,000","214,000","205,99K","2,31%"
"17.06.2025","216,250","218,000","220,750","207,000","177,53K","-1,14%"
"13.06.2025","218,750","235,000","235,750","218,000","244,22K","-4,89%"
"12.06.2025","230,000","240,000","240,000","225,000","186,34K","-2,44%"
"11.06.2025","235,750","247,000","249,000","235,000","191,35K","-2,98%"
"10.06.2025","243,000","236,500","245,000","234,500","221,42K","3,40%"
"09.06.2025","235,000","239,500","243,000","232,000","191,20K","-2,08%"
"06.06.2025","240,000","245,000","247,000","237,500","200,87K","-1,44%"
"05.06.2025","243,500","248,000","256,000","240,000","212,57K","-2,01%"
"04.06.2025","248,500","253,000","258,000","241,500","545,48K","-1,78%"
"03.06.2025","253,000","250,500","263,000","245,000","157,01K","0,00%"
"02.06.2025","253,000","259,000","269,500","246,000","219,62K","-2,32%"
"30.05.2025","259,000","262,500","275,000","258,000","169,15K","-2,26%"
"29.05.2025","265,000","268,000","273,000","260,000","179,78K","-2,75%"
"28.05.2025","272,500","270,000","278,500","264,000","326,33K","0,00%"
"27.05.2025","272,500","283,000","288,500","270,000","342,78K","-3,54%"
"26.05.2025","282,500","285,000","291,000","280,000","144,14K","-1,05%"
"23.05.2025","285,500","287,000","291,000","275,000","561,53K","-0,52%"
"22.05.2025","287,000","271,000","290,000","267,000","810,81K","5,90%"
"21.05.2025","271,000","271,500","273,000","261,000","579,60K","4,03%"
"20.05.2025","260,500","261,500","265,500","256,000","270,31K","0,19%"
"19.05.2025","260,000","268,000","273,500","250,000","677,67K","-2,44%"
"16.05.2025","266,500","269,000","271,500","261,000","282,17K","-0,74%"
"15.05.2025","268,500","269,000","280,000","258,000","412,46K","0,75%"
"14.05.2025","266,500","262,000","275,000","251,000","626,61K","0,38%"
"13.05.2025","265,500","269,000","269,000","260,500","373,17K","-1,67%"
"12.05.2025","270,000","279,000","293,500","260,000","362,51K","0,93%"
"09.05.2025","267,500","260,000","275,000","260,000","204,32K","0,38%"
"08.05.2025","266,500","275,000","285,000","253,000","204,96K","-0,74%"
"07.05.2025","268,500","250,000","315,000","245,750","611,79K","6,55%"
"06.05.2025","252,000","240,000","255,000","237,500","265,94K","7,81%"
"05.05.2025","233,750","238,500","238,500","230,000","195,16K","-1,99%"
"30.04.2025","238,500","248,000","250,000","235,000","250,36K","-4,60%"
"29.04.2025","250,000","255,000","255,000","237,500","121,63K","0,10%"
"28.04.2025","249,750","262,500","271,500","240,000","340,36K","-5,58%"
"25.04.2025","264,500","255,000","275,000","255,000","327,38K","3,12%"
"24.04.2025","256,500","240,000","266,000","240,000","505,75K","4,69%"
"23.04.2025","245,000","232,500","247,000","232,500","351,19K","7,81%"
"22.04.2025","227,250","215,000","232,500","215,000","183,06K","3,06%"
"21.04.2025","220,500","242,000","242,000","218,000","275,99K","-10,09%"
"16.04.2025","245,250","265,000","278,000","236,000","840,98K","-6,93%"
"15.04.2025","263,500","254,500","279,000","246,000","620,32K","4,36%"
"14.04.2025","252,500","248,000","264,500","234,500","435,25K","8,14%"
"11.04.2025","233,500","226,500","238,000","222,250","207,66K","5,18%"
"10.04.2025","222,000","228,000","228,000","215,250","210,63K","-1,88%"
"09.04.2025","226,250","220,000","229,000","186,000","779,04K","7,35%"
"08.04.2025","210,750","241,000","250,000","209,000","330,56K","-9,94%"
"07.04.2025","234,000","245,000","255,000","226,500","337,81K","-9,65%"
"04.04.2025","259,000","251,000","275,000","216,000","801,78K","0,97%"
"03.04.2025","256,500","262,000","265,000","252,500","230,04K","-4,47%"
"01.04.2025","268,500","268,000","275,000","263,500","279,45K","2,68%"
"31.03.2025","261,500","265,500","270,000","253,000","188,68K","-1,51%"
"28.03.2025","265,500","277,500","277,500","264,500","147,55K","-2,93%"
"27.03.2025","273,500","275,000","282,000","267,000","442,00K","-0,18%"
"26.03.2025","274,000","275,000","275,000","267,000","470,10K","-0,90%"
"25.03.2025","276,500","284,000","284,000","271,000","645,63K","0,91%"
"21.03.2025","274,000","268,000","276,000","260,500","188,93K","2,62%"
"20.03.2025","267,000","269,500","273,000","265,500","129,32K","-0,56%"
"19.03.2025","268,500","267,000","279,000","265,000","216,14K","1,70%"
"18.03.2025","264,000","271,000","282,500","260,000","290,06K","-5,04%"
"17.03.2025","278,000","279,500","282,500","273,000","290,72K","-0,54%"
"14.03.2025","279,500","284,500","284,500","272,000","312,42K","0,18%"
"13.03.2025","279,000","289,000","289,000","273,000","197,57K","-3,13%"
"12.03.2025","288,000","277,000","289,000","262,500","390,03K","3,97%"
"11.03.2025","277,000","288,000","292,000","268,000","231,08K","-0,89%"
"10.03.2025","279,500","290,000","294,000","272,000","347,73K","-4,61%"
"07.03.2025","293,000","291,000","306,000","286,000","604,16K","2,81%"
"06.03.2025","285,000","269,000","287,000","263,000","1,06M","9,62%"
"05.03.2025","260,000","252,000","264,000","248,000","468,30K","3,79%"
"28.02.2025","250,500","257,500","262,000","241,000","451,76K","-1,57%"
"27.02.2025","254,500","266,000","271,000","251,000","552,15K","-4,32%"
"26.02.2025","266,000","270,000","285,000","264,000","315,53K","-1,48%"
