"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.06.2025","3.345,000","3.400,000","3.430,000","3.280,000","1,29M","-1,33%"
"27.06.2025","3.390,000","3.400,000","3.420,000","3.345,000","568,32K","0,30%"
"26.06.2025","3.380,000","3.400,000","3.420,000","3.365,000","659,04K","0,90%"
"25.06.2025","3.350,000","3.390,000","3.410,000","3.330,000","903,95K","-2,19%"
"24.06.2025","3.425,000","3.360,000","3.485,000","3.340,000","1,10M","1,93%"
"23.06.2025","3.360,000","3.385,000","3.390,000","3.290,000","1,13M","-2,04%"
"19.06.2025","3.430,000","3.450,000","3.475,000","3.400,000","422,31K","0,59%"
"18.06.2025","3.410,000","3.475,000","3.500,000","3.405,000","1,32M","-1,87%"
"17.06.2025","3.475,000","3.500,000","3.520,000","3.430,000","1,58M","-2,52%"
"13.06.2025","3.565,000","3.675,000","3.695,000","3.495,000","1,06M","-1,66%"
"12.06.2025","3.625,000","3.685,000","3.685,000","3.600,000","1,08M","0,00%"
"11.06.2025","3.625,000","3.650,000","3.680,000","3.555,000","1,33M","-0,14%"
"10.06.2025","3.630,000","3.515,000","3.665,000","3.515,000","2,26M","3,71%"
"09.06.2025","3.500,000","3.545,000","3.560,000","3.470,000","902,23K","-1,41%"
"06.06.2025","3.550,000","3.500,000","3.595,000","3.450,000","936,93K","1,28%"
"05.06.2025","3.505,000","3.500,000","3.565,000","3.475,000","1,14M","1,45%"
"04.06.2025","3.455,000","3.675,000","3.720,000","3.445,000","1,73M","-6,24%"
"03.06.2025","3.685,000","3.575,000","3.705,000","3.575,000","1,11M","2,79%"
"02.06.2025","3.585,000","3.700,000","3.755,000","3.575,000","553,60K","-3,11%"
"30.05.2025","3.700,000","3.740,000","3.765,000","3.660,000","700,90K","-1,07%"
"29.05.2025","3.740,000","3.830,000","3.865,000","3.710,000","1,10M","-2,35%"
"28.05.2025","3.830,000","3.795,000","3.875,000","3.710,000","1,11M","0,52%"
"27.05.2025","3.810,000","3.830,000","3.845,000","3.775,000","721,42K","-0,13%"
"26.05.2025","3.815,000","3.805,000","3.870,000","3.790,000","568,37K","0,26%"
"23.05.2025","3.805,000","3.705,000","3.830,000","3.705,000","576,64K","1,06%"
"22.05.2025","3.765,000","3.805,000","3.860,000","3.745,000","1,64M","-1,05%"
"21.05.2025","3.805,000","3.945,000","4.015,000","3.770,000","2,53M","-3,55%"
"20.05.2025","3.945,000","3.960,000","4.005,000","3.930,000","1,18M","-0,38%"
"19.05.2025","3.960,000","3.880,000","4.060,000","3.880,000","1,20M","2,59%"
"16.05.2025","3.860,000","3.830,000","3.900,000","3.805,000","1,04M","0,78%"
"15.05.2025","3.830,000","3.800,000","3.880,000","3.775,000","2,76M","-1,29%"
"14.05.2025","3.880,000","3.875,000","3.910,000","3.715,000","1,27M","0,13%"
"13.05.2025","3.875,000","3.725,000","3.930,000","3.670,000","2,96M","3,47%"
"12.05.2025","3.745,000","3.530,000","3.770,000","3.515,000","3,99M","7,15%"
"09.05.2025","3.495,000","3.400,000","3.540,000","3.365,000","1,20M","4,17%"
"08.05.2025","3.355,000","3.320,000","3.410,000","3.280,000","971,15K","1,21%"
"07.05.2025","3.315,000","3.495,000","3.495,000","3.290,000","2,38M","-4,33%"
"06.05.2025","3.465,000","3.340,000","3.480,000","3.340,000","897,02K","3,28%"
"05.05.2025","3.355,000","3.380,000","3.455,000","3.310,000","837,72K","-0,89%"
"30.04.2025","3.385,000","3.420,000","3.485,000","3.360,000","957,57K","-2,87%"
"29.04.2025","3.485,000","3.585,000","3.585,000","3.475,000","887,59K","-1,27%"
"28.04.2025","3.530,000","3.680,000","3.680,000","3.475,000","1,03M","-3,29%"
"25.04.2025","3.650,000","3.660,000","3.745,000","3.600,000","914,13K","0,27%"
"24.04.2025","3.640,000","3.680,000","3.840,000","3.600,000","1,44M","-0,55%"
"23.04.2025","3.660,000","3.630,000","3.750,000","3.630,000","2,07M","2,52%"
"22.04.2025","3.570,000","3.405,000","3.595,000","3.405,000","1,45M","6,25%"
"21.04.2025","3.360,000","3.600,000","3.600,000","3.300,000","1,31M","-7,05%"
"16.04.2025","3.615,000","3.700,000","3.780,000","3.570,000","1,30M","-3,34%"
"15.04.2025","3.740,000","3.830,000","3.840,000","3.700,000","1,04M","-2,98%"
"14.04.2025","3.855,000","4.000,000","4.095,000","3.670,000","3,12M","3,35%"
"11.04.2025","3.730,000","3.635,000","3.830,000","3.635,000","1,54M","4,78%"
"10.04.2025","3.560,000","3.620,000","3.670,000","3.415,000","1,57M","-1,66%"
"09.04.2025","3.620,000","3.425,000","3.950,000","3.285,000","2,53M","5,69%"
"08.04.2025","3.425,000","3.630,000","3.735,000","3.380,000","3,33M","-2,42%"
"07.04.2025","3.510,000","3.490,000","3.750,000","3.460,000","3,00M","-4,10%"
"04.04.2025","3.660,000","3.840,000","3.840,000","3.500,000","1,90M","-7,11%"
"03.04.2025","3.940,000","3.985,000","4.050,000","3.930,000","1,15M","-4,95%"
"01.04.2025","4.145,000","4.060,000","4.200,000","4.060,000","633,21K","2,47%"
"31.03.2025","4.045,000","4.100,000","4.100,000","4.000,000","1,66M","-2,41%"
"28.03.2025","4.145,000","4.170,000","4.205,000","4.105,000","775,15K","-0,96%"
"27.03.2025","4.185,000","4.270,000","4.335,000","4.170,000","967,38K","-1,53%"
"26.03.2025","4.250,000","4.390,000","4.390,000","4.240,000","1,10M","-2,19%"
"25.03.2025","4.345,000","4.300,000","4.395,000","4.255,000","1,17M","2,12%"
"21.03.2025","4.255,000","4.170,000","4.275,000","4.110,000","1,09M","3,40%"
"20.03.2025","4.115,000","4.130,000","4.160,000","4.025,000","857,00K","-0,36%"
"19.03.2025","4.130,000","3.960,000","4.145,000","3.960,000","1,14M","4,69%"
"18.03.2025","3.945,000","3.985,000","4.005,000","3.890,000","1,19M","-2,11%"
"17.03.2025","4.030,000","4.080,000","4.150,000","4.020,000","1,03M","-1,23%"
"14.03.2025","4.080,000","3.970,000","4.095,000","3.945,000","1,23M","4,75%"
"13.03.2025","3.895,000","3.935,000","4.025,000","3.845,000","948,26K","-2,01%"
"12.03.2025","3.975,000","3.815,000","4.000,000","3.815,000","2,33M","6,43%"
"11.03.2025","3.735,000","3.705,000","3.805,000","3.645,000","1,80M","1,77%"
"10.03.2025","3.670,000","3.785,000","3.785,000","3.570,000","1,58M","-5,29%"
"07.03.2025","3.875,000","3.900,000","3.970,000","3.715,000","1,04M","0,65%"
"06.03.2025","3.850,000","3.850,000","3.920,000","3.725,000","1,46M","1,32%"
"05.03.2025","3.800,000","3.700,000","3.820,000","3.665,000","894,70K","1,47%"
"28.02.2025","3.745,000","3.630,000","3.815,000","3.525,000","1,60M","3,74%"
"27.02.2025","3.610,000","3.735,000","3.780,000","3.575,000","1,44M","-2,96%"
"26.02.2025","3.720,000","3.780,000","3.830,000","3.700,000","1,38M","-1,46%"
"25.02.2025","3.775,000","3.890,000","3.935,000","3.700,000","1,04M","-2,96%"
"24.02.2025","3.890,000","3.990,000","3.995,000","3.795,000","903,35K","-0,38%"
"21.02.2025","3.905,000","4.000,000","4.070,000","3.900,000","1,81M","-1,01%"
"20.02.2025","3.945,000","3.965,000","4.010,000","3.865,000","1,13M","-0,50%"
"19.02.2025","3.965,000","3.950,000","4.015,000","3.900,000","1,05M","0,63%"
"18.02.2025","3.940,000","3.720,000","3.990,000","3.720,000","2,08M","6,34%"
"17.02.2025","3.705,000","3.850,000","3.895,000","3.660,000","2,44M","-5,96%"
"14.02.2025","3.940,000","3.880,000","3.945,000","3.800,000","1,16M","2,20%"
"13.02.2025","3.855,000","3.730,000","3.875,000","3.720,000","916,57K","3,63%"
"12.02.2025","3.720,000","3.660,000","3.825,000","3.500,000","2,47M","1,92%"
"11.02.2025","3.650,000","3.775,000","3.840,000","3.600,000","2,80M","-3,31%"
"10.02.2025","3.775,000","3.890,000","3.955,000","3.710,000","2,57M","-2,96%"
"07.02.2025","3.890,000","4.065,000","4.120,000","3.830,000","1,66M","-4,07%"
"06.02.2025","4.055,000","4.035,000","4.125,000","3.975,000","1,01M","0,75%"
"05.02.2025","4.025,000","4.150,000","4.180,000","4.015,000","731,21K","-3,01%"
"04.02.2025","4.150,000","4.080,000","4.180,000","4.080,000","728,53K","1,72%"
"03.02.2025","4.080,000","4.160,000","4.160,000","4.000,000","1,48M","-3,77%"
"31.01.2025","4.240,000","4.350,000","4.365,000","4.200,000","734,24K","-0,93%"
"30.01.2025","4.280,000","4.110,000","4.300,000","4.100,000","2,02M","5,29%"
"29.01.2025","4.065,000","3.800,000","4.080,000","3.725,000","1,79M","6,97%"
"28.01.2025","3.800,000","3.895,000","3.950,000","3.680,000","2,89M","-1,94%"
"27.01.2025","3.875,000","4.030,000","4.030,000","3.780,000","2,23M","-4,08%"
"24.01.2025","4.040,000","4.075,000","4.195,000","3.865,000","2,11M","-3,23%"
"23.01.2025","4.175,000","4.235,000","4.245,000","4.140,000","916,19K","-1,42%"
"22.01.2025","4.235,000","4.210,000","4.300,000","4.165,000","969,98K","0,59%"
"21.01.2025","4.210,000","4.100,000","4.225,000","4.040,000","1,81M","4,08%"
"20.01.2025","4.045,000","4.090,000","4.185,000","4.005,000","888,93K","-0,86%"
"17.01.2025","4.080,000","4.290,000","4.325,000","4.060,000","2,34M","-4,90%"
"16.01.2025","4.290,000","4.420,000","4.460,000","4.265,000","1,26M","-2,94%"
"15.01.2025","4.420,000","4.550,000","4.580,000","4.345,000","1,61M","-1,01%"
"14.01.2025","4.465,000","4.315,000","4.490,000","4.315,000","1,91M","3,72%"
"13.01.2025","4.305,000","4.550,000","4.590,000","4.300,000","1,46M","-4,97%"
"10.01.2025","4.530,000","4.505,000","4.630,000","4.430,000","2,27M","-0,98%"
"09.01.2025","4.575,000","4.555,000","4.645,000","4.460,000","1,57M","2,35%"
"08.01.2025","4.470,000","4.580,000","4.580,000","4.280,000","2,87M","-1,87%"
"07.01.2025","4.555,000","4.515,000","4.635,000","4.450,000","2,68M","1,22%"
"06.01.2025","4.500,000","4.500,000","4.560,000","4.400,000","1,94M","1,24%"
"03.01.2025","4.445,000","4.420,000","4.510,000","4.255,000","1,93M","1,37%"
"02.01.2025","4.385,000","4.170,000","4.450,000","4.170,000","2,26M","5,28%"
"31.12.2024","4.165,000","4.200,000","4.220,000","4.110,000","1,00M","0,00%"
"30.12.2024","4.165,000","4.200,000","4.220,000","4.110,000","1,00M","-0,60%"
"27.12.2024","4.190,000","4.230,000","4.260,000","4.110,000","1,01M","-0,59%"
"26.12.2024","4.215,000","4.135,000","4.275,000","4.135,000","1,29M","1,93%"
"24.12.2024","4.135,000","4.100,000","4.155,000","4.065,000","224,22K","1,72%"
"23.12.2024","4.065,000","4.070,000","4.250,000","3.960,000","1,20M","0,62%"
"20.12.2024","4.040,000","3.950,000","4.050,000","3.690,000","1,96M","2,28%"
"19.12.2024","3.950,000","4.080,000","4.170,000","3.930,000","1,68M","-2,95%"
"18.12.2024","4.070,000","4.200,000","4.320,000","4.050,000","2,55M","-2,51%"
"17.12.2024","4.175,000","4.120,000","4.200,000","4.075,000","2,38M","1,58%"
"16.12.2024","4.110,000","3.895,000","4.120,000","3.895,000","2,87M","5,66%"
"13.12.2024","3.890,000","3.820,000","3.965,000","3.800,000","2,48M","1,83%"
"12.12.2024","3.820,000","3.900,000","3.965,000","3.800,000","3,24M","-1,29%"
"11.12.2024","3.870,000","3.720,000","3.895,000","3.695,000","2,15M","4,17%"
"10.12.2024","3.715,000","3.800,000","3.835,000","3.680,000","1,33M","-1,46%"
"09.12.2024","3.770,000","3.730,000","3.835,000","3.710,000","1,29M","1,07%"
"06.12.2024","3.730,000","3.750,000","3.850,000","3.610,000","1,44M","-0,27%"
"05.12.2024","3.740,000","3.770,000","3.895,000","3.615,000","2,53M","-0,80%"
"04.12.2024","3.770,000","3.890,000","3.930,000","3.720,000","2,06M","-3,08%"
"03.12.2024","3.890,000","3.895,000","3.970,000","3.820,000","2,08M","0,26%"
"02.12.2024","3.880,000","3.930,000","3.930,000","3.755,000","2,71M","0,65%"
"29.11.2024","3.855,000","3.800,000","3.900,000","3.735,000","1,20M","2,12%"
"28.11.2024","3.775,000","3.750,000","3.790,000","3.665,000","609,84K","1,21%"
"27.11.2024","3.730,000","3.800,000","3.800,000","3.670,000","1,22M","0,00%"
"26.11.2024","3.730,000","3.770,000","3.780,000","3.550,000","1,53M","0,54%"
"25.11.2024","3.710,000","3.780,000","3.870,000","3.610,000","2,73M","-0,54%"
"22.11.2024","3.730,000","3.645,000","3.780,000","3.575,000","1,93M","2,19%"
"21.11.2024","3.650,000","3.625,000","3.715,000","3.580,000","2,28M","0,69%"
"20.11.2024","3.625,000","3.580,000","3.650,000","3.525,000","1,86M","1,83%"
"19.11.2024","3.560,000","3.590,000","3.650,000","3.520,000","2,36M","4,25%"
"15.11.2024","3.415,000","3.480,000","3.600,000","3.395,000","3,05M","-1,73%"
"14.11.2024","3.475,000","3.480,000","3.500,000","3.415,000","2,14M","1,16%"
"13.11.2024","3.435,000","3.360,000","3.465,000","3.340,000","2,03M","2,23%"
"12.11.2024","3.360,000","3.320,000","3.400,000","3.230,000","1,77M","1,82%"
"11.11.2024","3.300,000","3.275,000","3.305,000","3.180,000","1,22M","1,69%"
"08.11.2024","3.245,000","3.300,000","3.330,000","3.135,000","2,06M","-0,15%"
"07.11.2024","3.250,000","3.250,000","3.315,000","3.200,000","1,84M","0,93%"
"06.11.2024","3.220,000","3.245,000","3.300,000","3.205,000","1,58M","0,31%"
"05.11.2024","3.210,000","3.135,000","3.220,000","3.120,000","1,52M","2,39%"
"04.11.2024","3.135,000","3.120,000","3.160,000","3.105,000","1,31M","0,32%"
"01.11.2024","3.125,000","3.145,000","3.175,000","3.085,000","998,97K","0,64%"
"31.10.2024","3.105,000","3.110,000","3.135,000","3.050,000","1,18M","0,00%"
"30.10.2024","3.105,000","3.100,000","3.140,000","3.080,000","1,11M","0,81%"
"29.10.2024","3.080,000","3.155,000","3.155,000","3.070,000","1,58M","-1,28%"
"28.10.2024","3.120,000","3.190,000","3.235,000","3.075,000","1,78M","-2,50%"
"25.10.2024","3.200,000","3.250,000","3.265,000","3.185,000","1,37M","-1,08%"
"24.10.2024","3.235,000","3.175,000","3.240,000","3.140,000","846,78K","2,21%"
"23.10.2024","3.165,000","3.260,000","3.260,000","3.115,000","823,87K","-2,01%"
"22.10.2024","3.230,000","3.245,000","3.290,000","3.210,000","730,36K","-0,31%"
"21.10.2024","3.240,000","3.280,000","3.290,000","3.220,000","962,77K","-0,31%"
"18.10.2024","3.250,000","3.250,000","3.265,000","3.175,000","982,45K","0,78%"
"17.10.2024","3.225,000","3.070,000","3.245,000","3.070,000","2,87M","5,56%"
"16.10.2024","3.055,000","3.085,000","3.140,000","3.045,000","908,53K","-1,45%"
"15.10.2024","3.100,000","3.070,000","3.120,000","3.020,000","1,99M","0,98%"
"14.10.2024","3.070,000","3.085,000","3.095,000","2.990,000","1,24M","1,82%"
"10.10.2024","3.015,000","3.070,000","3.090,000","3.005,000","748,82K","-1,15%"
"09.10.2024","3.050,000","3.000,000","3.085,000","2.935,000","1,26M","1,67%"
"08.10.2024","3.000,000","2.980,000","3.020,000","2.955,000","778,85K","0,84%"
"07.10.2024","2.975,000","3.075,000","3.090,000","2.960,000","861,52K","-3,72%"
"04.10.2024","3.090,000","3.070,000","3.105,000","3.030,000","747,94K","1,15%"
"03.10.2024","3.055,000","2.960,000","3.070,000","2.955,000","902,14K","3,38%"
"02.10.2024","2.955,000","3.000,000","3.095,000","2.940,000","1,89M","-2,48%"
"01.10.2024","3.030,000","2.950,000","3.045,000","2.950,000","1,14M","2,02%"
"30.09.2024","2.970,000","2.915,000","2.980,000","2.840,000","1,16M","2,77%"
"27.09.2024","2.890,000","2.885,000","2.975,000","2.875,000","982,09K","1,23%"
"26.09.2024","2.855,000","2.950,000","2.955,000","2.850,000","1,00M","-2,39%"
"25.09.2024","2.925,000","2.950,000","2.990,000","2.905,000","962,04K","-1,02%"
"24.09.2024","2.955,000","2.985,000","3.010,000","2.930,000","861,06K","0,00%"
"23.09.2024","2.955,000","3.050,000","3.055,000","2.925,000","1,06M","-2,48%"
"20.09.2024","3.030,000","3.035,000","3.055,000","3.000,000","1,15M","-0,16%"
"19.09.2024","3.035,000","2.995,000","3.055,000","2.990,000","1,92M","3,41%"
"18.09.2024","2.935,000","2.935,000","2.975,000","2.865,000","1,41M","1,03%"
"17.09.2024","2.905,000","2.910,000","2.920,000","2.865,000","1,68M","-0,17%"
"16.09.2024","2.910,000","2.900,000","2.995,000","2.900,000","1,55M","-2,02%"
"13.09.2024","2.970,000","2.960,000","2.985,000","2.935,000","1,45M","0,17%"
"12.09.2024","2.965,000","2.950,000","3.000,000","2.905,000","1,60M","0,51%"
"11.09.2024","2.950,000","2.860,000","2.980,000","2.860,000","1,48M","3,51%"
"10.09.2024","2.850,000","2.880,000","2.885,000","2.800,000","1,44M","-1,04%"
"09.09.2024","2.880,000","2.850,000","2.900,000","2.820,000","1,03M","1,23%"
"06.09.2024","2.845,000","2.900,000","2.910,000","2.775,000","1,06M","-1,90%"
"05.09.2024","2.900,000","2.960,000","3.000,000","2.865,000","2,05M","-1,36%"
"04.09.2024","2.940,000","2.925,000","2.960,000","2.875,000","1,38M","2,26%"
"03.09.2024","2.875,000","2.825,000","2.910,000","2.810,000","2,22M","-1,03%"
"02.09.2024","2.905,000","2.875,000","2.950,000","2.835,000","1,82M","3,01%"
"30.08.2024","2.820,000","2.800,000","2.885,000","2.800,000","1,75M","3,11%"
"29.08.2024","2.735,000","2.745,000","2.790,000","2.730,000","1,23M","1,67%"
"28.08.2024","2.690,000","2.680,000","2.715,000","2.650,000","697,52K","0,94%"
"27.08.2024","2.665,000","2.650,000","2.680,000","2.635,000","818,42K","1,52%"
"26.08.2024","2.625,000","2.675,000","2.690,000","2.595,000","916,22K","-1,32%"
"23.08.2024","2.660,000","2.665,000","2.675,000","2.625,000","876,59K","1,72%"
"22.08.2024","2.615,000","2.640,000","2.640,000","2.605,000","914,66K","-1,88%"
"21.08.2024","2.665,000","2.705,000","2.715,000","2.650,000","766,27K","-2,20%"
"20.08.2024","2.725,000","2.730,000","2.770,000","2.695,000","2,10M","0,37%"
"19.08.2024","2.715,000","2.710,000","2.735,000","2.660,000","1,41M","0,56%"
"16.08.2024","2.700,000","2.675,000","2.760,000","2.675,000","1,56M","0,75%"
"15.08.2024","2.680,000","2.630,000","2.685,000","2.630,000","1,54M","2,68%"
"14.08.2024","2.610,000","2.590,000","2.690,000","2.565,000","1,94M","-0,19%"
"13.08.2024","2.615,000","2.690,000","2.695,000","2.580,000","1,85M","-1,13%"
"12.08.2024","2.645,000","2.630,000","2.665,000","2.585,000","1,28M","0,19%"
"09.08.2024","2.640,000","2.575,000","2.685,000","2.545,000","2,70M","3,73%"
"08.08.2024","2.545,000","2.455,000","2.575,000","2.455,000","2,00M","8,30%"
"07.08.2024","2.350,000","2.340,000","2.385,000","2.290,000","1,71M","1,29%"
"06.08.2024","2.320,000","2.270,000","2.345,000","2.260,000","972,83K","2,43%"
"05.08.2024","2.265,000","2.130,000","2.270,000","2.115,000","4,11M","-0,66%"
"02.08.2024","2.280,000","2.295,000","2.350,000","2.260,000","851,64K","-2,36%"
"01.08.2024","2.335,000","2.365,000","2.385,000","2.305,000","851,17K","-0,64%"
"31.07.2024","2.350,000","2.275,000","2.365,000","2.245,000","1,36M","5,38%"
"30.07.2024","2.230,000","2.330,000","2.345,000","2.215,000","1,49M","-5,51%"
"29.07.2024","2.360,000","2.475,000","2.475,000","2.345,000","655,94K","-3,08%"
"26.07.2024","2.435,000","2.500,000","2.500,000","2.405,000","418,07K","0,62%"
"25.07.2024","2.420,000","2.510,000","2.510,000","2.420,000","1,30M","-3,59%"
"24.07.2024","2.510,000","2.580,000","2.595,000","2.505,000","911,02K","-2,52%"
"23.07.2024","2.575,000","2.495,000","2.585,000","2.480,000","1,34M","3,83%"
"22.07.2024","2.480,000","2.420,000","2.525,000","2.420,000","1,13M","1,43%"
"19.07.2024","2.445,000","2.400,000","2.480,000","2.400,000","1,01M","2,30%"
"18.07.2024","2.390,000","2.400,000","2.425,000","2.360,000","1,21M","1,92%"
"17.07.2024","2.345,000","2.385,000","2.385,000","2.305,000","1,30M","-1,26%"
"16.07.2024","2.375,000","2.365,000","2.405,000","2.220,000","1,64M","0,00%"
"15.07.2024","2.375,000","2.580,000","2.600,000","2.360,000","3,99M","-11,87%"
"12.07.2024","2.695,000","2.650,000","2.705,000","2.625,000","1,32M","1,51%"
"11.07.2024","2.655,000","2.585,000","2.660,000","2.570,000","1,60M","2,71%"
"10.07.2024","2.585,000","2.580,000","2.630,000","2.520,000","1,94M","0,24%"
"08.07.2024","2.578,750","2.560,150","2.597,350","2.518,000","1,10M","2,74%"
"05.07.2024","2.510,000","2.455,000","2.569,000","2.455,000","1,95M","2,16%"
"04.07.2024","2.456,950","2.430,000","2.479,000","2.415,000","688,21K","1,61%"
"03.07.2024","2.418,000","2.560,000","2.633,000","2.389,000","2,51M","-1,91%"
"02.07.2024","2.465,000","2.428,900","2.499,000","2.428,900","1,30M","1,67%"
"01.07.2024","2.424,400","2.425,100","2.438,000","2.355,950","1,55M","0,97%"
"28.06.2024","2.401,000","2.457,000","2.477,450","2.390,800","1,79M","-1,96%"
"27.06.2024","2.449,000","2.364,000","2.450,000","2.330,000","1,92M","3,86%"
"26.06.2024","2.357,900","2.357,900","2.374,350","2.311,050","1,05M","1,07%"
"25.06.2024","2.333,000","2.325,000","2.367,050","2.315,000","987,53K","0,10%"
"24.06.2024","2.330,700","2.330,000","2.338,500","2.280,000","1,27M","-1,73%"
"19.06.2024","2.371,800","2.317,500","2.378,000","2.317,500","824,98K","2,34%"
"18.06.2024","2.317,500","2.378,550","2.378,550","2.299,000","2,79M","-3,84%"
"14.06.2024","2.410,000","2.445,000","2.445,000","2.368,000","2,45M","-0,32%"
"13.06.2024","2.417,750","2.448,000","2.448,000","2.325,000","5,14M","2,45%"
"12.06.2024","2.360,000","2.350,000","2.404,000","2.328,050","2,04M","0,68%"
"11.06.2024","2.344,000","2.410,000","2.410,000","2.324,500","1,76M","-2,82%"
"10.06.2024","2.412,000","2.288,000","2.420,000","2.288,000","1,84M","5,79%"
"07.06.2024","2.280,000","2.274,000","2.294,000","2.248,000","1,64M","0,00%"
"06.06.2024","2.280,000","2.326,000","2.333,000","2.230,000","1,72M","3,21%"
"05.06.2024","2.209,000","2.195,000","2.230,000","2.160,100","2,95M","-5,05%"
"04.06.2024","2.326,500","2.425,000","2.468,000","2.310,500","1,35M","-5,67%"
"03.06.2024","2.466,400","2.474,000","2.500,000","2.425,100","1,00M","-0,31%"
"31.05.2024","2.474,000","2.440,000","2.500,000","2.400,000","1,50M","1,56%"
"30.05.2024","2.436,000","2.399,350","2.448,000","2.350,450","2,16M","3,05%"
"29.05.2024","2.363,950","2.366,000","2.374,950","2.285,000","1,82M","-0,09%"
"28.05.2024","2.366,000","2.330,000","2.388,000","2.270,000","1,92M","2,20%"
"27.05.2024","2.315,000","2.256,000","2.360,000","2.255,000","827,42K","2,62%"
"24.05.2024","2.255,900","2.229,000","2.270,000","2.212,450","1,51M","0,84%"
"23.05.2024","2.237,000","2.273,100","2.325,000","2.210,000","1,10M","-1,50%"
"22.05.2024","2.271,000","2.266,000","2.317,500","2.244,000","1,98M","-0,07%"
"21.05.2024","2.272,600","2.251,100","2.282,150","2.201,500","1,87M","1,81%"
"20.05.2024","2.232,100","2.112,550","2.237,950","2.090,000","1,29M","5,29%"
"17.05.2024","2.120,000","2.140,000","2.165,250","2.111,500","1,68M","-0,45%"
"16.05.2024","2.129,550","2.138,000","2.156,100","2.110,000","1,32M","-0,52%"
"15.05.2024","2.140,750","2.099,900","2.167,750","2.085,000","2,13M","3,97%"
"14.05.2024","2.059,000","1.980,000","2.080,000","1.980,000","1,45M","3,99%"
"13.05.2024","1.980,000","2.030,000","2.040,000","1.949,000","1,61M","-2,77%"
"10.05.2024","2.036,500","2.130,000","2.140,000","2.030,000","1,07M","-3,94%"
"09.05.2024","2.120,000","2.125,000","2.138,900","2.084,650","1,17M","-0,89%"
"08.05.2024","2.139,000","2.194,000","2.219,000","2.130,000","2,01M","-2,33%"
"07.05.2024","2.190,000","2.220,000","2.230,000","2.123,550","3,36M","-0,86%"
"06.05.2024","2.209,000","2.195,000","2.230,000","2.160,100","2,95M","1,20%"
"03.05.2024","2.182,800","2.105,000","2.203,850","2.105,000","3,61M","4,34%"
"02.05.2024","2.092,000","1.999,000","2.105,000","1.961,000","3,00M","-5,28%"
"01.05.2024","2.208,600","2.139,000","2.223,300","2.090,000","897,09K","13,85%"
"30.04.2024","1.940,000","2.000,000","2.005,000","1.932,050","2,52M","-1,27%"
"29.04.2024","1.964,900","1.915,400","1.993,000","1.915,400","1,15M","2,58%"
"26.04.2024","1.915,400","1.900,000","1.935,000","1.895,000","1,49M","1,34%"
"25.04.2024","1.890,000","1.849,750","1.906,700","1.815,600","1,80M","2,42%"
"24.04.2024","1.845,350","1.887,350","1.889,500","1.835,500","1,78M","-3,38%"
"23.04.2024","1.910,000","1.975,000","1.975,000","1.901,000","1,87M","-2,80%"
"22.04.2024","1.965,000","1.879,000","1.970,000","1.845,000","2,66M","6,85%"
"19.04.2024","1.839,000","1.802,000","1.855,000","1.785,000","2,26M","2,51%"
"18.04.2024","1.794,000","1.812,000","1.830,500","1.770,000","1,67M","0,17%"
"17.04.2024","1.791,000","1.812,000","1.839,000","1.765,100","1,46M","-1,16%"
"16.04.2024","1.812,000","1.819,950","1.832,000","1.771,000","1,55M","-0,51%"
"15.04.2024","1.821,200","1.904,500","1.904,500","1.798,000","2,42M","-4,41%"
