"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.06.2025","616,000","646,000","646,000","609,000","1,78M","-2,22%"
"27.06.2025","630,000","637,000","650,000","622,000","2,22M","0,64%"
"26.06.2025","626,000","626,000","640,000","622,000","1,53M","1,79%"
"25.06.2025","615,000","610,000","621,000","591,000","1,09M","1,32%"
"24.06.2025","607,000","566,000","619,000","566,000","2,35M","7,43%"
"23.06.2025","565,000","590,000","591,000","553,000","2,07M","-4,40%"
"19.06.2025","591,000","588,000","596,000","582,000","483,88K","0,68%"
"18.06.2025","587,000","602,000","602,000","585,000","1,83M","-1,34%"
"17.06.2025","595,000","620,000","632,000","576,000","3,66M","-4,19%"
"13.06.2025","621,000","644,000","652,000","617,000","1,02M","-3,57%"
"12.06.2025","644,000","647,000","649,000","633,000","373,50K","1,10%"
"11.06.2025","637,000","636,000","647,000","629,000","912,59K","0,31%"
"10.06.2025","635,000","623,000","644,000","622,000","1,27M","1,93%"
"09.06.2025","623,000","644,000","658,000","617,000","1,12M","-3,41%"
"06.06.2025","645,000","641,000","651,000","627,000","1,25M","0,94%"
"05.06.2025","639,000","625,000","653,000","625,000","860,35K","0,47%"
"04.06.2025","636,000","648,000","654,000","627,000","1,82M","-1,85%"
"03.06.2025","648,000","645,000","672,000","640,000","1,41M","-1,97%"
"02.06.2025","661,000","697,000","698,000","656,000","2,74M","-5,71%"
"30.05.2025","701,000","717,000","718,000","693,000","2,24M","-1,82%"
"29.05.2025","714,000","713,000","728,000","703,000","2,48M","0,14%"
"28.05.2025","713,000","696,000","723,000","685,000","2,83M","2,00%"
"27.05.2025","699,000","699,000","707,000","685,000","1,97M","0,29%"
"26.05.2025","697,000","682,000","698,000","679,000","2,16M","2,65%"
"23.05.2025","679,000","680,000","685,000","668,000","1,51M","0,44%"
"22.05.2025","676,000","690,000","697,000","655,000","2,46M","-0,44%"
"21.05.2025","679,000","666,000","698,000","666,000","3,83M","1,95%"
"20.05.2025","666,000","648,000","670,000","633,000","2,13M","3,58%"
"19.05.2025","643,000","660,000","664,000","640,000","1,02M","-1,53%"
"16.05.2025","653,000","619,000","670,000","613,000","1,95M","5,49%"
"15.05.2025","619,000","617,000","628,000","605,000","1,43M","0,32%"
"14.05.2025","617,000","616,000","641,000","607,000","3,53M","0,33%"
"13.05.2025","615,000","585,000","618,000","568,000","3,94M","7,89%"
"12.05.2025","570,000","604,000","605,000","565,000","3,71M","-3,55%"
"09.05.2025","591,000","599,000","608,000","582,000","1,37M","-1,34%"
"08.05.2025","599,000","628,000","640,000","592,000","2,29M","-4,01%"
"07.05.2025","624,000","635,000","649,000","610,000","1,71M","-1,58%"
"06.05.2025","634,000","620,000","652,000","610,000","1,34M","2,76%"
"05.05.2025","617,000","600,000","621,000","591,000","1,05M","2,32%"
"30.04.2025","603,000","625,000","625,000","590,000","1,57M","-3,83%"
"29.04.2025","627,000","657,000","673,000","613,000","2,60M","-3,83%"
"28.04.2025","652,000","649,000","657,000","621,000","1,04M","1,24%"
"25.04.2025","644,000","631,000","650,000","618,000","1,71M","2,38%"
"24.04.2025","629,000","635,000","650,000","620,000","1,54M","-0,16%"
"23.04.2025","630,000","612,000","647,000","606,000","4,96M","4,48%"
"22.04.2025","603,000","595,000","617,000","587,000","2,84M","1,52%"
"21.04.2025","594,000","679,000","679,000","585,000","3,83M","-13,66%"
"16.04.2025","688,000","730,000","734,000","671,000","1,17M","-5,10%"
