"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.06.2025","2.805,000","2.930,000","2.990,000","2.750,000","266,33K","-3,77%"
"27.06.2025","2.915,000","2.950,000","2.950,000","2.800,000","247,73K","0,17%"
"26.06.2025","2.910,000","2.990,000","3.050,000","2.880,000","110,68K","-2,35%"
"25.06.2025","2.980,000","3.020,000","3.070,000","2.920,000","130,00K","-1,49%"
"24.06.2025","3.025,000","2.880,000","3.060,000","2.855,000","229,71K","6,14%"
"23.06.2025","2.850,000","2.995,000","2.995,000","2.800,000","159,54K","-5,32%"
"19.06.2025","3.010,000","3.010,000","3.060,000","2.950,000","63,63K","0,00%"
"18.06.2025","3.010,000","3.000,000","3.080,000","2.935,000","129,22K","0,00%"
"17.06.2025","3.010,000","3.095,000","3.150,000","2.940,000","337,93K","-2,75%"
"13.06.2025","3.095,000","3.280,000","3.280,000","3.060,000","110,65K","-4,33%"
"12.06.2025","3.235,000","3.270,000","3.340,000","3.215,000","198,56K","-0,92%"
"11.06.2025","3.265,000","3.400,000","3.400,000","3.200,000","173,13K","-2,39%"
"10.06.2025","3.345,000","3.235,000","3.390,000","3.175,000","331,36K","5,85%"
"09.06.2025","3.160,000","3.250,000","3.375,000","3.110,000","116,44K","-2,62%"
"06.06.2025","3.245,000","3.280,000","3.280,000","3.155,000","172,06K","0,62%"
"05.06.2025","3.225,000","3.450,000","3.450,000","3.200,000","179,82K","-5,01%"
"04.06.2025","3.395,000","3.490,000","3.500,000","3.315,000","149,68K","-3,00%"
"03.06.2025","3.500,000","3.420,000","3.505,000","3.355,000","218,24K","3,09%"
"02.06.2025","3.395,000","3.505,000","3.505,000","3.340,000","88,35K","-3,14%"
"30.05.2025","3.505,000","3.530,000","3.550,000","3.380,000","273,23K","-1,27%"
"29.05.2025","3.550,000","3.600,000","3.650,000","3.505,000","197,55K","-0,70%"
"28.05.2025","3.575,000","3.505,000","3.615,000","3.310,000","167,17K","1,56%"
"27.05.2025","3.520,000","3.590,000","3.605,000","3.510,000","145,49K","-0,85%"
"26.05.2025","3.550,000","3.525,000","3.580,000","3.510,000","103,48K","1,43%"
