"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.06.2025","2.065,000","2.105,000","2.175,000","2.050,000","895,71K","-1,90%"
"27.06.2025","2.105,000","2.120,000","2.145,000","2.090,000","373,77K","-0,47%"
"26.06.2025","2.115,000","2.200,000","2.235,000","2.100,000","767,49K","-3,64%"
"25.06.2025","2.195,000","2.280,000","2.290,000","2.175,000","381,11K","-4,15%"
"24.06.2025","2.290,000","2.245,000","2.345,000","2.245,000","695,69K","2,23%"
"23.06.2025","2.240,000","2.355,000","2.375,000","2.205,000","355,12K","-7,25%"
"19.06.2025","2.415,000","2.360,000","2.475,000","2.360,000","84,63K","0,00%"
"18.06.2025","2.415,000","2.540,000","2.570,000","2.385,000","568,20K","-4,92%"
"17.06.2025","2.540,000","2.600,000","2.700,000","2.520,000","473,38K","-1,55%"
"13.06.2025","2.580,000","2.515,000","2.610,000","2.420,000","446,45K","0,58%"
"12.06.2025","2.565,000","2.480,000","2.595,000","2.480,000","595,29K","3,22%"
"11.06.2025","2.485,000","2.510,000","2.510,000","2.410,000","452,45K","0,81%"
"10.06.2025","2.465,000","2.335,000","2.480,000","2.335,000","1,15M","6,02%"
"09.06.2025","2.325,000","2.365,000","2.450,000","2.315,000","280,79K","-1,90%"
"06.06.2025","2.370,000","2.465,000","2.515,000","2.350,000","594,55K","-3,85%"
"05.06.2025","2.465,000","2.545,000","2.570,000","2.445,000","251,19K","-2,76%"
"04.06.2025","2.535,000","2.770,000","2.795,000","2.500,000","376,31K","-8,32%"
"03.06.2025","2.765,000","2.700,000","2.790,000","2.630,000","303,26K","1,84%"
"02.06.2025","2.715,000","2.740,000","2.740,000","2.640,000","315,68K","0,56%"
"30.05.2025","2.700,000","2.665,000","2.730,000","2.565,000","423,54K","1,31%"
"29.05.2025","2.665,000","2.680,000","2.700,000","2.605,000","190,01K","0,19%"
"28.05.2025","2.660,000","2.530,000","2.720,000","2.445,000","380,27K","3,91%"
"27.05.2025","2.560,000","2.600,000","2.655,000","2.510,000","194,79K","-1,16%"
"26.05.2025","2.590,000","2.550,000","2.600,000","2.490,000","143,80K","2,78%"
"23.05.2025","2.520,000","2.510,000","2.585,000","2.430,000","276,15K","0,40%"
"22.05.2025","2.510,000","2.590,000","2.660,000","2.490,000","391,65K","-3,28%"
"21.05.2025","2.595,000","2.750,000","2.765,000","2.560,000","637,20K","-5,81%"
"20.05.2025","2.755,000","2.765,000","2.810,000","2.650,000","1,66M","-2,30%"
"19.05.2025","2.820,000","2.800,000","2.875,000","2.725,000","1,30M","2,55%"
"16.05.2025","2.750,000","2.755,000","2.825,000","2.705,000","848,70K","-1,61%"
"15.05.2025","2.795,000","2.580,000","2.800,000","2.460,000","1,85M","7,29%"
"14.05.2025","2.605,000","2.460,000","2.635,000","2.365,000","2,44M","6,76%"
"13.05.2025","2.440,000","2.280,000","2.460,000","2.255,000","1,21M","7,49%"
"12.05.2025","2.270,000","2.160,000","2.295,000","2.130,000","644,89K","8,10%"
"09.05.2025","2.100,000","2.055,000","2.125,000","2.000,000","551,62K","3,19%"
"08.05.2025","2.035,000","2.095,000","2.180,000","2.015,000","386,74K","-2,63%"
"07.05.2025","2.090,000","2.195,000","2.200,000","2.080,000","801,96K","-4,35%"
"06.05.2025","2.185,000","2.110,000","2.210,000","2.080,000","938,88K","3,55%"
"05.05.2025","2.110,000","2.065,000","2.170,000","2.005,000","390,94K","0,48%"
"30.04.2025","2.100,000","2.160,000","2.180,000","2.065,000","895,95K","-4,11%"
"29.04.2025","2.190,000","2.215,000","2.250,000","2.150,000","265,60K","-1,13%"
"28.04.2025","2.215,000","2.195,000","2.290,000","2.120,000","214,74K","1,14%"
"25.04.2025","2.190,000","2.275,000","2.300,000","2.100,000","663,69K","-1,57%"
"24.04.2025","2.225,000","2.275,000","2.390,000","2.165,000","1,14M","-0,22%"
"23.04.2025","2.230,000","2.065,000","2.270,000","2.065,000","1,24M","8,52%"
"22.04.2025","2.055,000","2.040,000","2.095,000","2.005,000","959,70K","4,85%"
"21.04.2025","1.960,000","1.790,000","2.025,000","1.700,000","719,69K","6,23%"
"16.04.2025","1.845,000","1.890,000","1.940,000","1.820,000","735,35K","-2,12%"
"15.04.2025","1.885,000","1.880,000","1.905,000","1.760,000","940,66K","1,89%"
"14.04.2025","1.850,000","1.790,000","1.870,000","1.700,000","936,90K","13,50%"
"11.04.2025","1.630,000","1.590,000","1.675,000","1.545,000","1,33M","6,54%"
"10.04.2025","1.530,000","1.570,000","1.620,000","1.465,000","1,21M","-3,77%"
"09.04.2025","1.590,000","1.550,000","1.740,000","1.460,000","993,42K","2,91%"
"08.04.2025","1.545,000","1.760,000","1.775,000","1.515,000","1,18M","-8,58%"
"07.04.2025","1.690,000","1.780,000","1.880,000","1.650,000","831,57K","-8,89%"
"04.04.2025","1.855,000","1.900,000","1.900,000","1.750,000","239,69K","-6,31%"
"03.04.2025","1.980,000","2.010,000","2.055,000","1.970,000","194,40K","-4,12%"
"01.04.2025","2.065,000","2.065,000","2.135,000","2.055,000","272,99K","0,00%"
"31.03.2025","2.065,000","2.095,000","2.095,000","2.005,000","517,00K","-1,90%"
"28.03.2025","2.105,000","2.150,000","2.150,000","2.095,000","205,67K","-2,09%"
"27.03.2025","2.150,000","2.200,000","2.230,000","2.130,000","268,11K","-0,69%"
"26.03.2025","2.165,000","2.210,000","2.245,000","2.140,000","385,97K","-2,04%"
"25.03.2025","2.210,000","2.200,000","2.230,000","2.170,000","846,30K","0,91%"
"21.03.2025","2.190,000","2.200,000","2.210,000","2.100,000","581,01K","0,92%"
"20.03.2025","2.170,000","2.230,000","2.270,000","2.150,000","196,31K","-2,03%"
"19.03.2025","2.215,000","2.190,000","2.250,000","2.070,000","473,55K","3,02%"
"18.03.2025","2.150,000","2.205,000","2.205,000","2.075,000","339,69K","-4,23%"
"17.03.2025","2.245,000","2.295,000","2.295,000","2.235,000","248,24K","0,22%"
"14.03.2025","2.240,000","2.190,000","2.280,000","2.190,000","512,77K","2,99%"
"13.03.2025","2.175,000","2.220,000","2.270,000","2.155,000","171,93K","-2,25%"
"12.03.2025","2.225,000","2.175,000","2.260,000","2.055,000","358,07K","3,97%"
"11.03.2025","2.140,000","2.140,000","2.190,000","2.055,000","494,93K","1,18%"
"10.03.2025","2.115,000","2.370,000","2.370,000","2.050,000","572,53K","-11,32%"
"07.03.2025","2.385,000","2.320,000","2.440,000","2.275,000","1,08M","2,80%"
"06.03.2025","2.320,000","2.230,000","2.360,000","2.150,000","937,16K","2,65%"
"05.03.2025","2.260,000","2.010,000","2.300,000","1.950,000","983,92K","13,00%"
"28.02.2025","2.000,000","2.090,000","2.120,000","1.970,000","841,05K","-3,38%"
"27.02.2025","2.070,000","2.270,000","2.275,000","2.045,000","748,88K","-8,41%"
"26.02.2025","2.260,000","2.310,000","2.340,000","2.230,000","320,72K","-2,38%"
"25.02.2025","2.315,000","2.450,000","2.450,000","2.285,000","619,20K","-4,34%"
"24.02.2025","2.420,000","2.550,000","2.550,000","2.415,000","348,86K","-2,42%"
"21.02.2025","2.480,000","2.480,000","2.515,000","2.460,000","533,25K","0,40%"
"20.02.2025","2.470,000","2.515,000","2.535,000","2.455,000","433,99K","-1,79%"
"19.02.2025","2.515,000","2.480,000","2.560,000","2.450,000","716,75K","1,62%"
"18.02.2025","2.475,000","2.415,000","2.520,000","2.410,000","987,92K","2,48%"
"17.02.2025","2.415,000","2.490,000","2.535,000","2.395,000","1,62M","-7,12%"
"14.02.2025","2.600,000","2.540,000","2.650,000","2.450,000","231,06K","4,00%"
"13.02.2025","2.500,000","2.400,000","2.530,000","2.400,000","222,04K","2,67%"
"12.02.2025","2.435,000","2.400,000","2.495,000","2.330,000","418,34K","0,62%"
"11.02.2025","2.420,000","2.500,000","2.540,000","2.300,000","732,57K","-3,39%"
"10.02.2025","2.505,000","2.615,000","2.690,000","2.490,000","140,29K","-3,47%"
"07.02.2025","2.595,000","2.675,000","2.695,000","2.570,000","558,52K","-1,33%"
"06.02.2025","2.630,000","2.610,000","2.665,000","2.580,000","326,46K","0,57%"
"05.02.2025","2.615,000","2.700,000","2.700,000","2.580,000","215,38K","-2,61%"
"04.02.2025","2.685,000","2.680,000","2.745,000","2.505,000","343,97K","2,87%"
"03.02.2025","2.610,000","2.735,000","2.735,000","2.600,000","317,39K","-6,28%"
"31.01.2025","2.785,000","2.870,000","2.870,000","2.780,000","226,36K","-1,24%"
"30.01.2025","2.820,000","2.830,000","2.900,000","2.780,000","189,75K","-0,70%"
"29.01.2025","2.840,000","2.750,000","2.865,000","2.695,000","530,71K","3,65%"
"28.01.2025","2.740,000","2.675,000","2.760,000","2.630,000","386,43K","2,43%"
"27.01.2025","2.675,000","2.680,000","2.690,000","2.570,000","403,02K","-0,56%"
"24.01.2025","2.690,000","2.655,000","2.740,000","2.545,000","233,99K","0,19%"
"23.01.2025","2.685,000","2.655,000","2.710,000","2.570,000","312,46K","1,13%"
"22.01.2025","2.655,000","2.700,000","2.700,000","2.575,000","718,45K","0,19%"
"21.01.2025","2.650,000","2.560,000","2.650,000","2.505,000","173,42K","3,52%"
"20.01.2025","2.560,000","2.490,000","2.570,000","2.450,000","218,92K","3,23%"
"17.01.2025","2.480,000","2.545,000","2.590,000","2.400,000","430,89K","-2,55%"
"16.01.2025","2.545,000","2.675,000","2.680,000","2.525,000","699,93K","-4,86%"
"15.01.2025","2.675,000","2.675,000","2.725,000","2.580,000","348,49K","0,00%"
"14.01.2025","2.675,000","2.650,000","2.735,000","2.620,000","1,33M","0,94%"
"13.01.2025","2.650,000","2.845,000","2.845,000","2.600,000","929,29K","-6,53%"
"10.01.2025","2.835,000","2.925,000","2.960,000","2.805,000","445,67K","-2,91%"
"09.01.2025","2.920,000","2.975,000","3.025,000","2.890,000","966,43K","-1,18%"
"08.01.2025","2.955,000","3.080,000","3.080,000","2.930,000","745,15K","-3,43%"
"07.01.2025","3.060,000","3.010,000","3.080,000","2.900,000","654,78K","3,20%"
