"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.06.2025","38.075,00","39.700,00","39.975,00","37.075,00","1,73M","-5,05%"
"27.06.2025","40.100,00","40.200,00","40.575,00","39.850,00","414,81K","-0,25%"
"26.06.2025","40.200,00","40.000,00","40.550,00","39.775,00","299,78K","1,07%"
"25.06.2025","39.775,00","40.275,00","40.450,00","39.625,00","468,42K","-2,99%"
"24.06.2025","41.000,00","40.225,00","41.275,00","39.750,00","385,02K","1,86%"
"23.06.2025","40.250,00","40.650,00","41.200,00","39.700,00","528,15K","-3,19%"
"19.06.2025","41.575,00","41.475,00","41.900,00","41.475,00","126,37K","0,24%"
"18.06.2025","41.475,00","42.250,00","42.600,00","41.300,00","337,87K","-1,07%"
"17.06.2025","41.925,00","42.275,00","42.625,00","41.675,00","517,09K","-3,06%"
"13.06.2025","43.250,00","43.300,00","44.525,00","42.150,00","668,12K","0,70%"
"12.06.2025","42.950,00","43.300,00","43.875,00","42.850,00","461,32K","-0,17%"
"11.06.2025","43.025,00","43.400,00","44.300,00","42.225,00","483,69K","-0,52%"
"10.06.2025","43.250,00","41.200,00","43.475,00","41.200,00","714,90K","6,66%"
"09.06.2025","40.550,00","41.175,00","41.175,00","40.400,00","460,43K","-1,52%"
"06.06.2025","41.175,00","40.525,00","41.450,00","40.100,00","360,18K","1,42%"
"05.06.2025","40.600,00","40.550,00","41.225,00","40.350,00","384,57K","0,19%"
"04.06.2025","40.525,00","41.925,00","42.650,00","40.300,00","627,53K","-4,31%"
"03.06.2025","42.350,00","41.400,00","42.750,00","41.000,00","569,38K","2,17%"
"02.06.2025","41.450,00","43.000,00","43.050,00","41.350,00","323,77K","-2,93%"
"30.05.2025","42.700,00","42.975,00","43.750,00","42.475,00","543,05K","-1,84%"
"29.05.2025","43.500,00","43.450,00","44.000,00","43.150,00","549,16K","-0,23%"
"28.05.2025","43.600,00","42.450,00","44.300,00","42.275,00","536,64K","1,16%"
"27.05.2025","43.100,00","42.900,00","43.150,00","42.300,00","439,89K","-0,12%"
"26.05.2025","43.150,00","42.625,00","43.200,00","42.600,00","191,50K","1,41%"
"23.05.2025","42.550,00","41.900,00","42.650,00","41.425,00","398,74K","1,31%"
"22.05.2025","42.000,00","41.700,00","42.700,00","41.325,00","649,66K","0,18%"
"21.05.2025","41.925,00","43.000,00","43.350,00","41.900,00","850,19K","-2,04%"
"20.05.2025","42.800,00","42.825,00","43.325,00","42.100,00","934,58K","-0,47%"
"19.05.2025","43.000,00","42.225,00","43.425,00","42.150,00","1,06M","2,08%"
"16.05.2025","42.125,00","41.500,00","42.175,00","41.100,00","704,59K","0,84%"
"15.05.2025","41.775,00","40.400,00","41.800,00","40.000,00","1,05M","-0,30%"
"14.05.2025","41.900,00","41.650,00","42.200,00","40.600,00","963,50K","0,36%"
"13.05.2025","41.750,00","41.100,00","42.075,00","40.400,00","939,00K","1,33%"
"12.05.2025","41.200,00","39.050,00","41.300,00","38.700,00","1,27M","9,07%"
"09.05.2025","37.775,00","36.500,00","37.900,00","36.000,00","511,61K","5,96%"
"08.05.2025","35.650,00","35.300,00","36.000,00","34.275,00","935,22K","0,64%"
"07.05.2025","35.425,00","36.150,00","36.150,00","35.000,00","949,50K","-3,21%"
"06.05.2025","36.600,00","35.150,00","36.725,00","35.150,00","661,35K","6,63%"
"05.05.2025","34.325,00","34.600,00","34.800,00","33.650,00","582,72K","-3,58%"
"30.04.2025","35.600,00","36.200,00","36.900,00","35.525,00","569,44K","-3,85%"
"29.04.2025","37.025,00","37.450,00","38.125,00","36.975,00","254,07K","-1,59%"
