"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.06.2025","1.994.824,50","2.041.077,75","2.062.865,50","1.969.598,38","","-2,27%"
"27.06.2025","2.041.077,75","2.040.048,00","2.057.786,50","2.027.352,38","","0,10%"
"26.06.2025","2.038.948,50","2.024.392,63","2.066.813,38","2.024.392,63","","0,72%"
"25.06.2025","2.024.392,63","2.064.904,00","2.064.904,00","2.019.684,63","","-1,95%"
"24.06.2025","2.064.589,50","1.977.115,88","2.074.376,63","1.977.115,88","","4,42%"
"23.06.2025","1.977.115,88","2.064.098,63","2.064.098,63","1.953.993,13","","-4,21%"
"19.06.2025","2.064.098,63","2.050.983,25","2.068.735,75","2.041.574,00","","0,64%"
"18.06.2025","2.050.983,25","2.072.440,25","2.087.596,25","2.047.045,00","","-1,04%"
"17.06.2025","2.072.440,25","2.127.156,25","2.127.156,25","2.058.978,63","","-2,57%"
"13.06.2025","2.127.156,25","2.187.671,00","2.193.360,00","2.103.951,50","","-2,77%"
"12.06.2025","2.187.671,00","2.171.272,50","2.212.832,75","2.171.272,50","","0,76%"
"11.06.2025","2.171.272,50","2.202.667,25","2.206.352,50","2.159.664,25","","-1,43%"
"10.06.2025","2.202.667,25","2.111.197,00","2.218.180,50","2.111.197,00","","4,33%"
"09.06.2025","2.111.197,00","2.156.778,50","2.156.778,50","2.109.184,25","","-2,11%"
"06.06.2025","2.156.778,50","2.124.156,00","2.176.386,00","2.102.591,00","","1,54%"
"05.06.2025","2.124.156,00","2.130.736,25","2.157.326,50","2.115.655,25","","-0,13%"
"04.06.2025","2.126.915,25","2.224.638,00","2.224.638,00","2.124.306,50","","-4,39%"
"03.06.2025","2.224.638,00","2.206.291,25","2.250.237,00","2.181.587,00","","0,83%"
"02.06.2025","2.206.291,25","2.278.991,50","2.283.472,75","2.202.360,00","","-3,19%"
"30.05.2025","2.278.991,50","2.306.995,00","2.314.949,25","2.269.200,00","","-1,26%"
"29.05.2025","2.308.055,75","2.344.329,50","2.345.531,25","2.296.662,75","","-1,55%"
"28.05.2025","2.344.329,50","2.355.098,25","2.368.473,00","2.266.195,75","","-0,46%"
"27.05.2025","2.355.098,25","2.370.800,00","2.381.051,50","2.343.522,75","","-0,66%"
"26.05.2025","2.370.800,00","2.345.902,25","2.384.067,25","2.345.902,25","","1,06%"
"23.05.2025","2.345.902,25","2.314.897,00","2.352.614,25","2.281.486,50","","1,34%"
"22.05.2025","2.314.897,00","2.319.548,50","2.358.258,00","2.308.351,50","","-0,20%"
"21.05.2025","2.319.548,50","2.378.464,00","2.400.650,00","2.310.191,00","","-2,48%"
"20.05.2025","2.378.464,00","2.369.505,25","2.399.812,00","2.346.820,50","","0,38%"
"19.05.2025","2.369.505,25","2.318.360,00","2.409.196,50","2.318.360,00","","2,21%"
"16.05.2025","2.318.360,00","2.298.473,00","2.321.689,25","2.279.256,00","","0,87%"
"15.05.2025","2.298.473,00","2.301.643,25","2.312.954,50","2.236.044,50","","-0,14%"
"14.05.2025","2.301.643,25","2.288.844,50","2.313.283,50","2.246.657,50","","0,71%"
"13.05.2025","2.285.483,25","2.230.394,75","2.292.720,75","2.214.326,00","","2,47%"
"12.05.2025","2.230.394,75","2.114.588,25","2.233.645,75","2.114.588,25","","5,49%"
"09.05.2025","2.114.385,50","2.064.360,50","2.140.598,50","2.063.754,50","","2,55%"
"08.05.2025","2.061.722,25","2.059.914,88","2.085.691,25","2.028.065,63","","0,09%"
"07.05.2025","2.059.914,88","2.129.994,50","2.132.278,50","2.055.401,50","","-3,29%"
"06.05.2025","2.129.994,50","2.059.931,63","2.134.997,00","2.059.931,63","","3,40%"
"05.05.2025","2.059.931,63","2.100.843,75","2.100.843,75","2.032.467,75","","-1,95%"
"30.04.2025","2.100.843,75","2.158.847,75","2.158.847,75","2.097.529,50","","-2,69%"
"29.04.2025","2.158.847,75","2.180.826,00","2.199.193,75","2.154.901,00","","-0,94%"
"28.04.2025","2.179.248,75","2.225.242,75","2.242.754,25","2.151.094,75","","-2,07%"
"25.04.2025","2.225.242,75","2.232.745,25","2.257.678,75","2.218.006,75","","-0,34%"
"24.04.2025","2.232.745,25","2.239.402,00","2.331.504,25","2.229.411,25","","-0,30%"
"23.04.2025","2.239.402,00","2.163.891,00","2.283.593,50","2.163.891,00","","3,49%"
"22.04.2025","2.163.891,00","2.045.707,38","2.168.086,25","2.045.707,38","","5,78%"
"21.04.2025","2.045.707,38","2.177.975,00","2.177.975,00","2.025.142,38","","-6,07%"
"16.04.2025","2.177.975,00","2.284.279,50","2.304.230,25","2.168.124,25","","-4,65%"
"15.04.2025","2.284.279,50","2.364.950,00","2.368.527,25","2.275.243,50","","-3,41%"
"14.04.2025","2.364.950,00","2.248.803,00","2.364.950,00","2.364.950,00","","5,16%"
